epc,ean,item_cd,category,fixture
30396061C155724000066B02,3608393496416,5683219,footwear,PW-01
30396061C155724000466C3A,3608393496416,5683219,footwear,PW-01
30396061C1557240003EB523,3608393496416,5683219,footwear,PW-01
30396061C15572400039283E,3608393496416,5683219,footwear,PW-01
30396061C15572400023BCA9,3608393496416,5683219,footwear,PW-01
30396061C1557240001A4107,3608393496416,5683219,footwear,PW-01
30396061C1557240008BA10C,3608393496416,5683219,footwear,PW-01
30396061C155724000164587,3608393496416,5683219,footwear,PW-01
30396061C155724000972E6C,3608393496416,5683219,footwear,PW-01
30396061C1557240006C06F9,3608393496416,5683219,footwear,PW-01
30396061C1557240000826D0,3608393496416,5683219,footwear,PW-01
30396061C1514B400037FC90,3608393453891,5585520,footwear,PW-02
30396061C1514B40003B9392,3608393453891,5585520,footwear,PW-02
30396061C1514B40008162DE,3608393453891,5585520,footwear,PW-02
30396061C1514B400006CEF7,3608393453891,5585520,footwear,PW-02
30396061C1514B40008FB1A9,3608393453891,5585520,footwear,PW-02
30396061C1514B400032EAEE,3608393453891,5585520,footwear,PW-02
30396061C1514980008B8530,3608393453822,5585513,footwear,PW-03
30396061C1514980006B698E,3608393453822,5585513,footwear,PW-03
30396061C1514980003872B3,3608393453822,5585513,footwear,PW-03
30396061C151498000730345,3608393453822,5585513,footwear,PW-03
30396061C15149800096DE05,3608393453822,5585513,footwear,PW-03
30396061C151498000473B69,3608393453822,5585513,footwear,PW-03
30396061C15149800001ADCF,3608393453822,5585513,footwear,PW-03
30396061C15149800028E356,3608393453822,5585513,footwear,PW-03
30396061C1514980006C345D,3608393453822,5585513,footwear,PW-03
30396061C151498000571E90,3608393453822,5585513,footwear,PW-03
30396061C15149800047267B,3608393453822,5585513,footwear,PW-03
30396061C15149800027D169,3608393453822,5585513,footwear,PW-03
30396061C15149C000562EF7,3608393453839,5585514,footwear,PW-04
30396061C15149C0001A2E5B,3608393453839,5585514,footwear,PW-04
30396061C15149C00017C219,3608393453839,5585514,footwear,PW-04
30396061C15149C0006146D2,3608393453839,5585514,footwear,PW-04
30396061C15149C00018C64F,3608393453839,5585514,footwear,PW-04
30396061C15149C0005BE9FA,3608393453839,5585514,footwear,PW-04
30396061C15149C000581163,3608393453839,5585514,footwear,PW-04
30396061C15149C00043BB8B,3608393453839,5585514,footwear,PW-04
30396061C1514A000075A0C6,3608393453846,5585515,footwear,PW-05
30396061C1514A0000894A26,3608393453846,5585515,footwear,PW-05
30396061C1514A00001FF883,3608393453846,5585515,footwear,PW-05
30396061C1514A000060EB89,3608393453846,5585515,footwear,PW-05
30396061C1514A0000143027,3608393453846,5585515,footwear,PW-05
30396061C1514A00008D5670,3608393453846,5585515,footwear,PW-05
30396061C1514A00004B11A3,3608393453846,5585515,footwear,PW-05
30396061C1514A00005C9804,3608393453846,5585515,footwear,PW-05
30396061C1514A000093D141,3608393453846,5585515,footwear,PW-05
30396061C1514A0000313DBB,3608393453846,5585515,footwear,PW-05
30396061C1514A000011D245,3608393453846,5585515,footwear,PW-05
30396061C1514A00000BBF0D,3608393453846,5585515,footwear,PW-05
30396061C1514A00003A5B72,3608393453846,5585515,footwear,PW-05
30396061C1514A4000147127,3608393453853,5585516,footwear,PW-06
30396061C1514A40003B9C16,3608393453853,5585516,footwear,PW-06
30396061C1514A400019DF22,3608393453853,5585516,footwear,PW-06
30396061C1514A40006153DB,3608393453853,5585516,footwear,PW-06
30396061C1514A4000472D2F,3608393453853,5585516,footwear,PW-06
30396061C1514A400074169A,3608393453853,5585516,footwear,PW-06
30396061C1514A40005D698C,3608393453853,5585516,footwear,PW-06
30396061C1514A400029A79A,3608393453853,5585516,footwear,PW-06
30396061C1514A40005EC816,3608393453853,5585516,footwear,PW-06
30396061C1514A40005AF6ED,3608393453853,5585516,footwear,PW-06
30396061C1514A400035A628,3608393453853,5585516,footwear,PW-06
30396061C1514A4000445C90,3608393453853,5585516,footwear,PW-06
30396061C1885A0000124B57,3608394017689,5763546,footwear,PW-07
30396061C1885A00002BD3A6,3608394017689,5763546,footwear,PW-07
30396061C1885A000088C14C,3608394017689,5763546,footwear,PW-07
30396061C1885A00003EAFD5,3608394017689,5763546,footwear,PW-07
30396061C1885A000029D8A6,3608394017689,5763546,footwear,PW-07
30396061C1885A0000765A97,3608394017689,5763546,footwear,PW-07
30396061C1885A00006127E5,3608394017689,5763546,footwear,PW-07
30396061C1885A0000451F34,3608394017689,5763546,footwear,PW-07
30396061C1885A00008E982A,3608394017689,5763546,footwear,PW-07
30396061C1885A0000383C9B,3608394017689,5763546,footwear,PW-07
30396061C1885A0000530819,3608394017689,5763546,footwear,PW-07
30396061C1885A00000E55DB,3608394017689,5763546,footwear,PW-07
30395DFA819C5C8000083BA0,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C800050C56F,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C800066B6A4,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C8000448E92,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C800010F5A4,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C80003606E0,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C800091369E,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C80005092A2,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C8000367299,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C80007FD186,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C8000654C09,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C8000757B38,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5C8000249723,3583784222587,4402527,apparel,GF-R1-U1
30395DFA819C5CC0003F26E2,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC0008FB9BA,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC00089FE52,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC0004346F0,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC00095AB55,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC0006DB1BE,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC000956651,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC000664304,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC0005CAFB4,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC00038294F,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC000236D9D,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC000827438,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C5CC0007E5AF5,3583784222594,4402528,apparel,GF-R1-U2
30395DFA819C9180000C13B9,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C9180001C15DF,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C918000272483,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C91800028F87C,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C9180006C1694,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C918000104742,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C918000628404,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C91800061B5B5,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C91800098900C,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C91800077D606,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C9180008777F1,3583784224703,4402529,apparel,GF-R1-U3
30395DFA819C9200008DA41E,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C92000002F453,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C9200001D572B,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C920000897ACB,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C92000044528F,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C9200005719A5,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C9200001C9296,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C9200004B26BB,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C9200006F50AE,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C9200002880EE,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C920000742B24,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C92000000D897,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C92000043715E,3583784224727,4402531,apparel,GF-R1-U4
30395DFA819C91C0002DC009,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C00081FB55,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0001B41A5,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0004C6AC8,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C00081FA19,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C00032EFBE,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C000272461,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0005FBCB9,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C000295F2F,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0008A18A6,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C00087C92A,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C000002962,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C00052FFCC,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0007D192B,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C000050055,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0001CA744,3583784224710,4402530,apparel,GF-R1-U5
30395DFA819C91C0005CF036,3583784224710,4402530,apparel,GF-R1-U5
