ean,item_cd,category,name_en,name_kr,needs_xlate,size_us,color,price_usd,fixture,depth
3608393014597,5552708,apparel,"BEANIE RUNNING WARM+ V2 BLUE GR, No Size","BEANIE RUNNING WARM+ V2 BLUE GR, No Size",0,OS,Blue,66.15,GF-R1-U1,7
3608392935510,5334760,apparel,"SL JACKET RUN 500 M WARM BLAC, L [short]","SL JACKET RUN 500 M WARM BLAC, L [short]",0,M,Grey,32.97,GF-R1-U2,8
3608429784838,2500810,apparel,"LS TS RUN WARM M black, L","LS TS RUN WARM M black, L",0,M,Black,17.46,GF-R1-U3,9
3608429784845,2500811,apparel,"LS TS RUN WARM M black, XL","LS TS RUN WARM M black, XL",0,M,Black,60.46,GF-R1-U4,11
3608392935534,5334762,apparel,"SL JACKET RUN 500 M WARM BLA, XL [short]","SL JACKET RUN 500 M WARM BLA, XL [short]",0,M,Navy,51.27,GF-R1-U5,8
3583784782432,4884395,apparel,"Pant Warm 100 M Black, 34\"" / L (L32)","Pant Warm 100 M Black, 34"" / L (L32)",0,M,Black,31.44,GF-R1-U6,6
3608391720209,5206658,apparel,"HEADBAND RUN WARM YELLOW FL, UNIQUE","HEADBAND RUN WARM YELLOW FL, UNIQUE",0,OS,Black,65.45,GF-R1-U7,11
3608393015525,5153801,apparel,"BEANIE RUNNING WARM+ V2 BLACK, No Size","BEANIE RUNNING WARM+ V2 BLACK, No Size",0,OS,Black,15.37,GF-R2-U1,8
3608391193478,5035976,apparel,"LONG TIGHT RUN 100, UK 34\"" / EU L (L34)","LONG TIGHT RUN 100, UK 34"" / EU L (L34)",0,L,Blue,16.4,GF-R2-U2,8
3608429817031,2342115,apparel,"LS TS RUN WARM BLACK, UK 12 - EU 40","LS TS RUN WARM BLACK, UK 12 - EU 40",0,L,Black,49.01,GF-R2-U3,7
3608391193454,5035974,apparel,"LONG TIGHT RUN 100, UK 32\"" / EU M (L33)","LONG TIGHT RUN 100, UK 32"" / EU M (L33)",0,M,Grey,55.33,GF-R2-U4,7
3608392933899,5334758,apparel,"SL JACKET RUN 500 M WARM BLAC, M [short]","SL JACKET RUN 500 M WARM BLAC, M [short]",0,M,Navy,36.94,GF-R2-U5,10
3608429784876,2500809,apparel,"LS TS RUN WARM M black, M","LS TS RUN WARM M black, M",0,M,Black,58.26,GF-R2-U6,7
3608429784722,2500812,apparel,"LS TS RUN WARM M black, 2XL","LS TS RUN WARM M black, 2XL",0,M,Black,21.26,GF-R2-U7,6
3583784782449,4884397,apparel,"Pant Warm 100 M Black, 37\"" / XL (L32)","Pant Warm 100 M Black, 37"" / XL (L32)",0,M,Black,17.91,GF-R3-U1,10
3608429870944,840210,apparel,RUNNING HEADBAND BLACK UNIQUE,RUNNING HEADBAND BLACK UNIQUE,0,OS,Black,17.85,GF-R3-U2,6
3608391552770,5205423,apparel,"PANT RUN 100 M DRY, UK 34\"" / EU L (L32)","PANT RUN 100 M DRY, UK 34"" / EU L (L32)",0,M,Teal,28.22,GF-R3-U3,10
3608429817000,2342114,apparel,"LS TS RUN WARM BLACK, UK 10 - EU 38","LS TS RUN WARM BLACK, UK 10 - EU 38",0,M,Black,51.47,GF-R3-U4,7
3583784782425,4884393,apparel,"Pant Warm 100 M Black, 32\"" / M (L31)","Pant Warm 100 M Black, 32"" / M (L31)",0,M,Black,39.69,GF-R3-U5,11
3608429817024,2342116,apparel,"LS TS RUN WARM BLACK, UK 14 - EU 42","LS TS RUN WARM BLACK, UK 14 - EU 42",0,XL,Black,66.2,GF-R3-U6,11
3608429804741,2501395,apparel,"TSHIRT RUN DRY M BLACK, XL","TSHIRT RUN DRY M BLACK, XL",0,M,Black,60.97,GF-R3-U7,10
3608429706885,4100173,apparel,"LS TS RUN WARM SAND, L","LS TS RUN WARM SAND, L",0,L,Grey,51.32,GF-R4-U1,6
3608391193492,5035978,apparel,"LONG TIGHT RUN 100, UK 39\"" / EU XL (L34)","LONG TIGHT RUN 100, UK 39"" / EU XL (L34)",0,XL,Red,63.02,GF-R4-U2,9
3608392935558,5334764,apparel,"SL JACKET RUN 500 M WARM BL, 2XL [short]","SL JACKET RUN 500 M WARM BL, 2XL [short]",0,M,Blue,33.02,GF-R4-U3,8
3583784783910,4884411,apparel,"Pant WARM 100 M BLUE G19B, 32\"" / M (L31)","Pant WARM 100 M BLUE G19B, 32"" / M (L31)",0,M,Blue,19.32,GF-R4-U4,9
3608391552756,5205421,apparel,"PANT RUN 100 M DRY, UK 32\"" / EU M (L31)","PANT RUN 100 M DRY, UK 32"" / EU M (L31)",0,M,Black,54.93,GF-R4-U5,5
3608390279661,4898468,apparel,"Run500 thick mid X2 black, 5.5-8 - 39/42","Run500 thick mid X2 black, 5.5-8 - 39/42",0,OS,Black,62.78,GF-R4-U6,10
3608390281633,4899428,apparel,"Run500 thin MID X2 white, 5.5-8 - 39/42","Run500 thin MID X2 white, 5.5-8 - 39/42",0,OS,White,56.16,GF-R4-U7,11
3608429645870,4302196,apparel,"JACKET WARM 500 BLACK, L","JACKET WARM 500 BLACK, L",0,L,Black,44.15,GB-R1-U1,11
3608429706861,4100176,apparel,"LS TS RUN WARM SAND, XL","LS TS RUN WARM SAND, XL",0,XL,Red,61.53,GB-R1-U2,8
3608392436598,5445583,apparel,"CN JACKET WIND RUN 100 M NOI, XL [short]","CN JACKET WIND RUN 100 M NOI, XL [short]",0,M,Navy,59.07,GB-R1-U3,5
3608391565305,5206010,apparel,"RUNNING HEADBAND V2 ASIA colo 2, No Size","RUNNING HEADBAND V2 ASIA colo 2, No Size",0,OS,Orange,34.88,GB-R1-U4,10
3608391552794,5205425,apparel,"PANT RUN 100 M DRY, UK 39\"" / EU XL (L32)","PANT RUN 100 M DRY, UK 39"" / EU XL (L32)",0,M,Pink,50.59,GB-R1-U5,11
3583784783927,4884413,apparel,"Pant WARM 100 M BLUE G19B, 34\"" / L (L32)","Pant WARM 100 M BLUE G19B, 34"" / L (L32)",0,M,Blue,45.12,GB-R1-U6,6
3608390296651,4925456,apparel,"SHORT DRY 100 M BLACK N07, UK 34\"" / EU L","SHORT DRY 100 M BLACK N07, UK 34"" / EU L",0,M,Black,25.23,GB-R1-U7,11
3608429645887,4302199,apparel,"JACKET WARM 500 BLACK, XL","JACKET WARM 500 BLACK, XL",0,XL,Black,57.68,GB-R2-U1,11
3608393403643,5657415,apparel,"PANT RUN 500 M WARM, UK 34 / EU L (L32)","PANT RUN 500 M WARM, UK 34 / EU L (L32)",0,M,Navy,18.34,GB-R2-U2,12
3608429817055,2342117,apparel,"LS TS RUN WARM BLACK, UK 16 - EU 44","LS TS RUN WARM BLACK, UK 16 - EU 44",0,XXL,Black,41.08,GB-R2-U3,6
3608429681953,4302167,apparel,"TS ML RUN WARM BLUE H17B, L","TS ML RUN WARM BLUE H17B, L",0,L,Blue,27.57,GB-R2-U4,5
3608429706892,4100174,apparel,"LS TS RUN WARM SAND, M","LS TS RUN WARM SAND, M",0,M,White,45.94,GB-R2-U5,7
3608429804765,2501394,apparel,"TSHIRT RUN DRY M BLACK, L","TSHIRT RUN DRY M BLACK, L",0,M,Black,43.1,GB-R2-U6,7
3608392436802,5445584,apparel,"CN JACKET WIND RUN 100 M NO, 2XL [short]","CN JACKET WIND RUN 100 M NO, 2XL [short]",0,M,Grey,68.1,GB-R2-U7,6
3608429817017,2342113,apparel,"LS TS RUN WARM BLACK, UK 8 - EU 36","LS TS RUN WARM BLACK, UK 8 - EU 36",0,S,Black,37.82,GB-R3-U1,5
3608390203390,4577907,apparel,"LS TS KIPRUN SKINCARE W BLA, UK10 / EU M","LS TS KIPRUN SKINCARE W BLA, UK10 / EU M",0,M,Navy,45.14,GB-R3-U2,10
3608392436581,5445582,apparel,"CN JACKET WIND RUN 100 M NOIR, L [short]","CN JACKET WIND RUN 100 M NOIR, L [short]",0,M,Red,16.73,GB-R3-U3,11
3608393403629,5657413,apparel,"PANT RUN 500 M WARM, UK 32 / EU M (L31)","PANT RUN 500 M WARM, UK 32 / EU M (L31)",0,M,Navy,50.06,GB-R3-U4,9
3608429682042,4302170,apparel,"TS ML RUN WARM BLUE H17B, XL","TS ML RUN WARM BLUE H17B, XL",0,XL,Blue,25.7,GB-R3-U5,11
3608392933875,5334756,apparel,"SL JACKET RUN 500 M WARM BLAC, S [short]","SL JACKET RUN 500 M WARM BLAC, S [short]",0,M,Red,30.05,GB-R3-U6,11
3608393403780,5657387,apparel,"PANT RUN 500 M WARM, UK 34 / EU L (L32)","PANT RUN 500 M WARM, UK 34 / EU L (L32)",0,M,Navy,26.78,GB-R3-U7,10
3608390272600,4896441,apparel,"LS TS 1/2 ZIP RUN 900 M WARM BLACK, XL","LS TS 1/2 ZIP RUN 900 M WARM BLACK, XL",0,M,Black,55.06,GB-R4-U1,8
3608392939976,5476870,apparel,"LS TS 1/2 ZIP RUN 500 WARM GR, L [short]","LS TS 1/2 ZIP RUN 500 WARM GR, L [short]",0,L,Red,35.89,GB-R4-U2,5
3608391007386,5102868,apparel,"Pant Ski & Snb 100 M Black UK 34\"" / EU L","Pant Ski & Snb 100 M Black UK 34"" / EU L",0,M,Black,15.9,GB-R4-U3,10
3608390272594,4896440,apparel,"LS TS 1/2 ZIP RUN 900 M WARM BLACK, L","LS TS 1/2 ZIP RUN 900 M WARM BLACK, L",0,M,Black,31.94,GB-R4-U4,7
3608390203802,4577908,apparel,"LS TS KIPRUN SKINCARE W, UK12-14 / EU L","LS TS KIPRUN SKINCARE W, UK12-14 / EU L",0,L,Teal,25.25,GB-R4-U5,10
3583784689809,4548162,apparel,"Pant Dry 100 M BLACK N07A, 32\"" / M (L31)","Pant Dry 100 M BLACK N07A, 32"" / M (L31)",0,M,Black,40.16,GB-R4-U6,8
3583784782418,4884391,apparel,"Pant Warm 100 M Black, 30\"" / S (L31)","Pant Warm 100 M Black, 30"" / S (L31)",0,M,Black,61.85,GB-R4-U7,9
3608429646747,4924326,apparel,"Jacket Run Wind 100 W Blac, UK 10 / EU M","Jacket Run Wind 100 W Blac, UK 10 / EU M",0,M,Grey,66.13,FR-01,11
3608429645863,4302197,apparel,"JACKET WARM 500 BLACK, M","JACKET WARM 500 BLACK, M",0,M,Black,31.89,FR-02,9
3608390281640,4899429,apparel,"Run500 thin MID X2 white, 8.5-11 - 43/46","Run500 thin MID X2 white, 8.5-11 - 43/46",0,OS,White,52.86,FR-03,8
3608393403766,5657385,apparel,"PANT RUN 500 M WARM, UK 32 / EU M (L31)","PANT RUN 500 M WARM, UK 32 / EU M (L31)",0,M,Navy,18.26,FR-04,7
