item_cd,qty,orders,name,name_kr
2843968,20000,46,PAPER_BAG01,PAPER_BAG01
2843415,19500,46,FABRIC_BAG01,FABRIC_BAG01
4564031,11738,5192,"RUN GLOVES EVOLUTIV V2 Black, M","RUN GLOVES EVOLUTIV V2 Black, M"
4564028,11601,4296,"RUN GLOVES EVOLUTIV V2 Black, L","RUN GLOVES EVOLUTIV V2 Black, L"
4564027,8908,4493,"RUN GLOVES EVOLUTIV V2 Black, S","RUN GLOVES EVOLUTIV V2 Black, S"
383093,8183,2106,"NECKWARMER FIRSTHEAT BLACK, ADULT","NECKWARMER FIRSTHEAT BLACK, ADULT"
5552708,5590,378,"BEANIE RUNNING WARM+ V2 BLUE GR, No Size","BEANIE RUNNING WARM+ V2 BLUE GR, No Size"
5334760,5312,2982,"SL JACKET RUN 500 M WARM BLAC, L [short]","SL JACKET RUN 500 M WARM BLAC, L [short]"
2500810,4922,3567,"LS TS RUN WARM M black, L","LS TS RUN WARM M black, L"
4564030,4791,1914,"RUN GLOVES EVOLUTIV V2 Black, XL","RUN GLOVES EVOLUTIV V2 Black, XL"
2500811,4129,2884,"LS TS RUN WARM M black, XL","LS TS RUN WARM M black, XL"
5334762,3897,2360,"SL JACKET RUN 500 M WARM BLA, XL [short]","SL JACKET RUN 500 M WARM BLA, XL [short]"
5537145,3880,1172,"MULTIFUNCTIONS HEADBAND WARM+V2, No Size","MULTIFUNCTIONS HEADBAND WARM+V2, No Size"
5154030,3385,802,"RUNNING CAP V2 BLACK, No Size","RUNNING CAP V2 BLACK, No Size"
4563977,3327,1459,"RUN GLOVES TOUCH SCREEN WARM+ V2 Blac, L","RUN GLOVES TOUCH SCREEN WARM+ V2 Blac, L"
4884395,3238,2263,"Pant Warm 100 M Black, 34\"" / L (L32)","Pant Warm 100 M Black, 34\"" / L (L32)"
5206658,3206,1248,"HEADBAND RUN WARM YELLOW FL, UNIQUE","HEADBAND RUN WARM YELLOW FL, UNIQUE"
4563975,3186,1752,"RUN GLOVES TOUCH SCREEN WARM+ V2 Blac, M","RUN GLOVES TOUCH SCREEN WARM+ V2 Blac, M"
540892,3097,664,"NECKWARMER TANKA BLACK, ADULTE","NECKWARMER TANKA BLACK, ADULTE"
2310968,2872,1040,"BEANIE WARM + GREY FONCE, ADULT","BEANIE WARM + GREY FONCE, ADULT"
5153910,2826,1575,"MULTIFUNCTIONS HEADBAND WARM+V2, No Size","MULTIFUNCTIONS HEADBAND WARM+V2, No Size"
5153801,2724,1368,"BEANIE RUNNING WARM+ V2 BLACK, No Size","BEANIE RUNNING WARM+ V2 BLACK, No Size"
5035976,2421,1448,"LONG TIGHT RUN 100, UK 34\"" / EU L (L34)","LONG TIGHT RUN 100, UK 34\"" / EU L (L34)"
2342115,2390,1050,"LS TS RUN WARM BLACK, UK 12 - EU 40","LS TS RUN WARM BLACK, UK 12 - EU 40"
5035974,2287,1365,"LONG TIGHT RUN 100, UK 32\"" / EU M (L33)","LONG TIGHT RUN 100, UK 32\"" / EU M (L33)"
5334758,2238,1421,"SL JACKET RUN 500 M WARM BLAC, M [short]","SL JACKET RUN 500 M WARM BLAC, M [short]"
4425515,2181,597,"SKI POWDER MASK BLACK, ONE SIZE FITS ALL","SKI POWDER MASK BLACK, ONE SIZE FITS ALL"
2500809,2151,1687,"LS TS RUN WARM M black, M","LS TS RUN WARM M black, M"
2500812,2147,1120,"LS TS RUN WARM M black, 2XL","LS TS RUN WARM M black, 2XL"
2130173,2142,223,"HAT FIRSTHEAT BLACK, .","HAT FIRSTHEAT BLACK, ."
4884397,1920,1331,"Pant Warm 100 M Black, 37\"" / XL (L32)","Pant Warm 100 M Black, 37\"" / XL (L32)"
4564122,1895,919,"RUN GLOVES TOUCH SCREEN V2 BLACK N07A, L","RUN GLOVES TOUCH SCREEN V2 BLACK N07A, L"
4728754,1885,208,"BP NH ARPENAZ 100 10L NEW BLACK, No Size","BP NH ARPENAZ 100 10L NEW BLACK, No Size"
840210,1839,982,RUNNING HEADBAND BLACK UNIQUE,RUNNING HEADBAND BLACK UNIQUE
4563976,1808,1204,"RUN GLOVES TOUCH SCREEN WARM+ V2 Blac, S","RUN GLOVES TOUCH SCREEN WARM+ V2 Blac, S"
5205423,1698,722,"PANT RUN 100 M DRY, UK 34\"" / EU L (L32)","PANT RUN 100 M DRY, UK 34\"" / EU L (L32)"
2342114,1692,753,"LS TS RUN WARM BLACK, UK 10 - EU 38","LS TS RUN WARM BLACK, UK 10 - EU 38"
381813,1626,336,"HOOD FLEECE BLACK, ADULT","HOOD FLEECE BLACK, ADULT"
4331748,1556,772,"SMARTPHONE BELT BASICS BLACK, No Size","SMARTPHONE BELT BASICS BLACK, No Size"
4884393,1542,1328,"Pant Warm 100 M Black, 32\"" / M (L31)","Pant Warm 100 M Black, 32\"" / M (L31)"
2342116,1521,626,"LS TS RUN WARM BLACK, UK 14 - EU 42","LS TS RUN WARM BLACK, UK 14 - EU 42"
4563978,1491,724,"RUN GLOVES TOUCH SCREEN WARM+ V2 Bla, XL","RUN GLOVES TOUCH SCREEN WARM+ V2 Bla, XL"
2501395,1473,270,"TSHIRT RUN DRY M BLACK, XL","TSHIRT RUN DRY M BLACK, XL"
4100173,1402,1006,"LS TS RUN WARM SAND, L","LS TS RUN WARM SAND, L"
4899088,1344,104,"NECKWARMER TANKA LIGHT GREY, UNIQUE","NECKWARMER TANKA LIGHT GREY, UNIQUE"
4564125,1341,952,"RUN GLOVES TOUCH SCREEN V2 BLACK N07A, M","RUN GLOVES TOUCH SCREEN V2 BLACK N07A, M"
4144352,1245,345,"NECKWARMER TANKA NAVY, ONE SIZE FITS ALL","NECKWARMER TANKA NAVY, ONE SIZE FITS ALL"
1225580,1200,2,GRIPPER  SIGNAGES SUPPORT,GRIPPER  SIGNAGES SUPPORT
2925689,1194,88,"Push Up bar 500 blue, No Size","Push Up bar 500 blue, No Size"
2423287,1148,464,"*ST 100 BLACK CAT 3, No Size","*ST 100 BLACK CAT 3, No Size"
5035978,1141,705,"LONG TIGHT RUN 100, UK 39\"" / EU XL (L34)","LONG TIGHT RUN 100, UK 39\"" / EU XL (L34)"
5334764,1138,555,"SL JACKET RUN 500 M WARM BL, 2XL [short]","SL JACKET RUN 500 M WARM BL, 2XL [short]"
4884411,1121,616,"Pant WARM 100 M BLUE G19B, 32\"" / M (L31)","Pant WARM 100 M BLUE G19B, 32\"" / M (L31)"
5205421,1109,416,"PANT RUN 100 M DRY, UK 32\"" / EU M (L31)","PANT RUN 100 M DRY, UK 32\"" / EU M (L31)"
4898468,1099,594,"Run500 thick mid X2 black, 5.5-8 - 39/42","Run500 thick mid X2 black, 5.5-8 - 39/42"
4899428,1095,526,"Run500 thin MID X2 white, 5.5-8 - 39/42","Run500 thin MID X2 white, 5.5-8 - 39/42"
4302196,1093,692,"JACKET WARM 500 BLACK, L","JACKET WARM 500 BLACK, L"
4100176,1063,829,"LS TS RUN WARM SAND, XL","LS TS RUN WARM SAND, XL"
5445583,1059,724,"CN JACKET WIND RUN 100 M NOI, XL [short]","CN JACKET WIND RUN 100 M NOI, XL [short]"
5206010,1051,288,"RUNNING HEADBAND V2 ASIA colo 2, No Size","RUNNING HEADBAND V2 ASIA colo 2, No Size"
5516002,1036,199,"Knee strap, No Size","Knee strap, No Size"
4564121,1035,833,"RUN GLOVES TOUCH SCREEN V2 BLACK N07A, S","RUN GLOVES TOUCH SCREEN V2 BLACK N07A, S"
5365279,1035,702,"X FONCTION HEADBAND BLACK, UNIQUE","X FONCTION HEADBAND BLACK, UNIQUE"
5205425,1034,402,"PANT RUN 100 M DRY, UK 39\"" / EU XL (L32)","PANT RUN 100 M DRY, UK 39\"" / EU XL (L32)"
2423285,1005,374,"*ST 100 TRANS CAT 0, No Size","*ST 100 TRANS CAT 0, No Size"
4884413,985,583,"Pant WARM 100 M BLUE G19B, 34\"" / L (L32)","Pant WARM 100 M BLUE G19B, 34\"" / L (L32)"
4925456,971,347,"SHORT DRY 100 M BLACK N07, UK 34\"" / EU L","SHORT DRY 100 M BLACK N07, UK 34\"" / EU L"
4866719,949,307,"WATER REPELLENT RUN CAP 5 PANE, No Size","WATER REPELLENT RUN CAP 5 PANE, No Size"
1833468,924,114,"HAT FISHERMAN GREY, .","HAT FISHERMAN GREY, ."
4302199,917,598,"JACKET WARM 500 BLACK, XL","JACKET WARM 500 BLACK, XL"
4564023,902,438,"RUN GLOVES EVOLUTIV V2, M","RUN GLOVES EVOLUTIV V2, M"
4563969,887,311,"RUN GLOVES TOUCH WARM+ V2 Grey N06A, L","RUN GLOVES TOUCH WARM+ V2 Grey N06A, L"
4866722,872,322,"WATER REPELLENT RUN CAP 5 PANE, No Size","WATER REPELLENT RUN CAP 5 PANE, No Size"
5657415,863,692,"PANT RUN 500 M WARM, UK 34 / EU L (L32)","PANT RUN 500 M WARM, UK 34 / EU L (L32)"
4563967,844,372,"RUN GLOVES TOUCH WARM+ V2 Grey N06A, M","RUN GLOVES TOUCH WARM+ V2 Grey N06A, M"
2342117,837,350,"LS TS RUN WARM BLACK, UK 16 - EU 44","LS TS RUN WARM BLACK, UK 16 - EU 44"
4302167,836,641,"TS ML RUN WARM BLUE H17B, L","TS ML RUN WARM BLUE H17B, L"
4153128,810,320,"soft flask 250ML SA newfilm2020, 250ml","soft flask 250ML SA newfilm2020, 250ml"
4100174,810,517,"LS TS RUN WARM SAND, M","LS TS RUN WARM SAND, M"
2501394,805,240,"TSHIRT RUN DRY M BLACK, L","TSHIRT RUN DRY M BLACK, L"
5445584,798,277,"CN JACKET WIND RUN 100 M NO, 2XL [short]","CN JACKET WIND RUN 100 M NO, 2XL [short]"
4563968,795,367,"RUN GLOVES TOUCH WARM+ V2 Grey N06A, S","RUN GLOVES TOUCH WARM+ V2 Grey N06A, S"
2342113,791,334,"LS TS RUN WARM BLACK, UK 8 - EU 36","LS TS RUN WARM BLACK, UK 8 - EU 36"
2357088,788,131,"HAT FISHERMAN NAVY, .","HAT FISHERMAN NAVY, ."
4152724,780,244,"SOFT FLASK 500 ML SA 2020, 500ml","SOFT FLASK 500 ML SA 2020, 500ml"
2508864,765,209,"DRY BOXER BLACK, L","DRY BOXER BLACK, L"
4985370,764,105,"WARM + BEANIE VISIBILTY YELLOW, UNIQUE","WARM + BEANIE VISIBILTY YELLOW, UNIQUE"
4447128,720,533,"T-shirt LS WARM 500 BLACK, L (Chest 39\"")","T-shirt LS WARM 500 BLACK, L (Chest 39\"")"
4577907,718,412,"LS TS KIPRUN SKINCARE W BLA, UK10 / EU M","LS TS KIPRUN SKINCARE W BLA, UK10 / EU M"
4925420,713,529,"LS TS DRY 100 UV M BLACK N07A, L","LS TS DRY 100 UV M BLACK N07A, L"
5445582,687,579,"CN JACKET WIND RUN 100 M NOIR, L [short]","CN JACKET WIND RUN 100 M NOIR, L [short]"
