EAN,ITEM_CD,ITEM_NM,ITEM_NM_KR,store_cat,high_value,price_usd
3583787765531,4097106,A300 S SWIP 여성 아동용 아날로그 시계 블랙 단일 사이즈,A300 S SWIP 여성 아동용 아날로그 시계 블랙 단일 사이즈,watch_gps,1,22.99
3583788379171,2047243,A300 아동용 손목시계 - 블루 그린 ,A300 아동용 손목시계 - 블루 그린 ,watch_gps,1,22.99
3583787726365,4104602,"W900 GEL, UK 8.5-9.5 EU43-44","W900 GEL, UK 8.5-9.5 EU43-44",watch_gps,1,89.99
3608419126877,2600518,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 123-130cm 7-8세,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 123-130cm 7-8세,watch_gps,1,89.99
3583788502715,645985,W200 M BLACK NEW,W200 M BLACK NEW,watch_gps,1,14.99
3608429739845,2987038,W200 M 디지털 타이머 스포츠 시계 다크 블루 M,W200 M 디지털 타이머 스포츠 시계 다크 블루 M,watch_gps,1,14.99
3583788379201,2047245,A300 아동용 손목시계 - 블루 그린 ,A300 아동용 손목시계 - 블루 그린 ,watch_gps,1,22.99
3583787726426,4104599,"W900 GEL, UK 4-5 EU37-38","W900 GEL, UK 4-5 EU37-38",watch_gps,1,89.99
3583788288428,2192843,W900 M SWIP 타이머 시계 화이트 .,W900 M SWIP 타이머 시계 화이트 .,watch_gps,1,89.99
3583787494417,4479514,"W500 Memory Foam, UK 8-12.5 EU42-48","W500 Memory Foam, UK 8-12.5 EU42-48",watch_gps,1,34.99
3583788502654,646219,W 남성용 방수 스포츠 시계,W 남성용 방수 스포츠 시계,watch_gps,1,29.99
3583788625155,1814988,ONRHYTHM 110 시계 & HRM 스트랩 블랙 .,ONRHYTHM 110 시계 & HRM 스트랩 블랙 .,watch_gps,1,7.49
3608409880192,2538608,핸들바 범용 시계 홀더 블랙 .,핸들바 범용 시계 홀더 블랙 .,watch_gps,1,29.99
3608429658009,4350625,"W200 S LTD BLUE NATURE, 1/0","W200 S LTD BLUE NATURE, 1/0",watch_gps,1,14.99
3583788033462,2698342,W500 M SWIP 디지털 시계 다크 블루 단일 사이즈,W500 M SWIP 디지털 시계 다크 블루 단일 사이즈,watch_gps,1,34.99
3608419126860,2600520,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 131-140cm 8-9세,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 131-140cm 8-9세,watch_gps,1,89.99
3583783901858,2882325,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 113-122cm 5-6세,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 113-122cm 5-6세,watch_gps,1,89.99
3583788181408,2484424,"W200 M BLUE BLACK, UNIQUE","W200 M BLUE BLACK, UNIQUE",watch_gps,1,14.99
3583788033479,2698294,W200 M 디지털 타이머 스포츠 시계 웨일 그레이 M,W200 M 디지털 타이머 스포츠 시계 웨일 그레이 M,watch_gps,1,14.99
3608419126846,2600522,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 151-160cm12-13세,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 151-160cm12-13세,watch_gps,1,89.99
3583788625650,1824421,A300 S SWIP 여성 아동용 아날로그 시계 - 화이트 ,A300 S SWIP 여성 아동용 아날로그 시계 - 화이트 ,watch_gps,1,22.99
3583787726433,4104598,"W900 GEL, UK 2.5-3 EU35-36","W900 GEL, UK 2.5-3 EU35-36",watch_gps,1,89.99
3583787726341,4104603,"W900 GEL, UK 10.5-11 EU45-46","W900 GEL, UK 10.5-11 EU45-46",watch_gps,1,89.99
3583787494400,4479513,"W500 Memory Foam, UK 4-7 EU37-41","W500 Memory Foam, UK 4-7 EU37-41",watch_gps,1,34.99
3608419132014,2603814,"SHORT W500 TG G Shorts B, 123-130CM 7-8Y",,watch_gps,1,34.99
3583788746218,1620545,스트랩 M SWIP 시계 스트랩 블랙 .,스트랩 M SWIP 시계 스트랩 블랙 .,watch_gps,1,29.99
3583788378822,2047293,W100 S 여성 및 아동용 러닝 스톱워치 글래시어 블루 .,W100 S 여성 및 아동용 러닝 스톱워치 글래시어 블루 .,watch_gps,1,7.49
3583787726419,4104600,"W900 GEL, UK 5.5-6.5 EU39-40","W900 GEL, UK 5.5-6.5 EU39-40",watch_gps,1,89.99
3583788502593,646268,전자 트레이닝시계 W700XC 지오노트 블랙 .,전자 트레이닝시계 W700XC 지오노트 블랙 .,watch_gps,1,29.99
3583787765548,4097107,A300 S SWIP 여성 아동용 아날로그 시계 레드 단일 사이즈,A300 S SWIP 여성 아동용 아날로그 시계 레드 단일 사이즈,watch_gps,1,22.99
3583787726402,4104601,"W900 GEL, UK 7-8 EU41-42","W900 GEL, UK 7-8 EU41-42",watch_gps,1,89.99
3583788288398,2192844,전자 트레이닝시계 W700XC 지오노트 블랙 .,전자 트레이닝시계 W700XC 지오노트 블랙 .,watch_gps,1,29.99
3583788502692,645977,W100 M SWIP 디지털 시계 블랙 .,W100 M SWIP 디지털 시계 블랙 .,watch_gps,1,7.49
3608419126853,2600521,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 141-150cm10-11세,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 141-150cm10-11세,watch_gps,1,89.99
3608419126839,2600523,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 161-172cm14-15세,W900 남아용 짐 통기성/내구성/경량성 와이드핏 바지 - 블랙 블랙 161-172cm14-15세,watch_gps,1,89.99
3583788661801,1760439,A300 M SWIP 아날로그 시계 - 블랙 ,A300 M SWIP 아날로그 시계 - 블랙 ,watch_gps,1,22.99
3583788181460,2484421,"W200 S BLUE YELLOW, No Size","W200 S BLUE YELLOW, No Size",watch_gps,1,14.99
3583788502647,646221,W500 M SWIP 디지털 시계 화이트 .,W500 M SWIP 디지털 시계 화이트 .,watch_gps,1,34.99
3583788625018,1816356,ONRHYTHM 110 시계 & HRM 스트랩- 블랙 ,ONRHYTHM 110 시계 & HRM 스트랩- 블랙 ,watch_gps,1,7.49
3608429978961,1372382,W200 S BLACK,W200 S BLACK,watch_gps,1,14.99
3608429827399,2182663,Ekiden Active Breath Childrens Running Shoes - Fuchsia Fluo lime EU 37,Ekiden Active Breath Childrens Running Shoes - Fuchsia Fluo lime EU 37,running_shoe,0,44.99
3608429838548,2172804,EKIPRIME 남성용 런닝화 - 블루 Bright indigo ,EKIPRIME 남성용 런닝화 - 블루 Bright indigo ,running_shoe,0,44.99
3608429832379,2179362,Kiprun SD Mens Running Shoes - Blue Fluo lime yellow EU 40,Kiprun SD Mens Running Shoes - Blue Fluo lime yellow EU 40,running_shoe,0,44.99
3608429836094,2173116,RUN ONE PLUS 여성용 런닝화 그린 Caribbean blue ,RUN ONE PLUS 여성용 런닝화 그린 Caribbean blue ,running_shoe,0,44.99
3608429856047,2014030,RUN ELIORUN 남성용 런닝화 블루 그레이 엘로우 ,RUN ELIORUN 남성용 런닝화 블루 그레이 엘로우 ,running_shoe,0,44.99
3608429803683,2501112,KIPRUN TRAIL XT 7 WOMENS TRAIL RUNNING SHOES 애쉬 그레이 255mm_EU 40,KIPRUN TRAIL XT 7 WOMENS TRAIL RUNNING SHOES 애쉬 그레이 255mm_EU 40,running_shoe,0,44.99
3608429865728,2007383,Kalenji Eliofeet 여성용 런닝화 그레이 ,Kalenji Eliofeet 여성용 런닝화 그레이 ,running_shoe,0,44.99
3608429831938,2179356,Kiprun SD Mens Running Shoes - Yellow Abyss grey EU 42.5,Kiprun SD Mens Running Shoes - Yellow Abyss grey EU 42.5,running_shoe,0,44.99
3608429827825,2182666,Ekiden Active Breath Childrens Running Shoe 블루 185mm_EU 30,Ekiden Active Breath Childrens Running Shoe 블루 185mm_EU 30,running_shoe,0,44.99
3608429827429,2182673,Ekiden Active Breath Childrens Running Shoe 블루 235mm_EU 37,Ekiden Active Breath Childrens Running Shoe 블루 235mm_EU 37,running_shoe,0,44.99
3608429836049,2173118,RUN ONE PLUS 여성용 런닝화 그린 Caribbean blue ,RUN ONE PLUS 여성용 런닝화 그린 Caribbean blue ,running_shoe,0,44.99
3608429827443,2182648,Ekiden Active Breath Childrens Running Shoes - Fuchsia Fluo sunflower EU 32,Ekiden Active Breath Childrens Running Shoes - Fuchsia Fluo sunflower EU 32,running_shoe,0,44.99
3608429836155,2173122,RUN ONE PLUS 여성용 런닝화 그린 Caribbean blue ,RUN ONE PLUS 여성용 런닝화 그린 Caribbean blue ,running_shoe,0,44.99
3608429832430,2177579,Ekiden Active Lace-up 여아용 런닝화 플루오 딥 마젠타 235mm_EU 37,Ekiden Active Lace-up 여아용 런닝화 플루오 딥 마젠타 235mm_EU 37,running_shoe,0,44.99
3608429827535,2182642,Ekiden Active Breath Childrens Running Shoe - Blue Fluo deep magenta ,Ekiden Active Breath Childrens Running Shoe - Blue Fluo deep magenta ,running_shoe,0,44.99
3608429772415,2380986,KIPRUN TRAIL XT 7 WOMENS TRAIL RUNNING SHOES 라이트 그레이 245mm_EU 39,KIPRUN TRAIL XT 7 WOMENS TRAIL RUNNING SHOES 라이트 그레이 245mm_EU 39,running_shoe,0,44.99
3608429837831,2172829,RUN ELIORUN 남성용 런닝화 블루 그레이 엘로우 Navy blue ,RUN ELIORUN 남성용 런닝화 블루 그레이 엘로우 Navy blue ,running_shoe,0,44.99
3608429885641,2005516,EKIPRIME 남성용 런닝화 그레이 블루 Blue grey ,EKIPRIME 남성용 런닝화 그레이 블루 Blue grey ,running_shoe,0,44.99
3608429836186,2173139,RUN EKIPRIME 여성용 런닝화 블랙 Abyss grey ,RUN EKIPRIME 여성용 런닝화 블랙 Abyss grey ,running_shoe,0,44.99
3608429899778,260379,RUN ONE PLUS 여성용 런닝화 그린 ,RUN ONE PLUS 여성용 런닝화 그린 ,running_shoe,0,44.99
3608429830542,2180068,RUN ELIORUN 남성용 런닝화 블랙 Navy blue ,RUN ELIORUN 남성용 런닝화 블랙 Navy blue ,running_shoe,0,44.99
3608429907190,183902,RUN ONE PLUS 여성용 런닝화 그린 Bright pink ,RUN ONE PLUS 여성용 런닝화 그린 Bright pink ,running_shoe,0,44.99
3608429837251,2172867,RUN ELIORUN 남성용 런닝화 블루 그레이 엘로우 ,RUN ELIORUN 남성용 런닝화 블루 그레이 엘로우 ,running_shoe,0,44.99
3608429827641,2182671,Ekiden Active Breath Childrens Running Shoe 블루 220mm_EU 35,Ekiden Active Breath Childrens Running Shoe 블루 220mm_EU 35,running_shoe,0,44.99
3608429927112,1773200,Kapteren Discover 남성용 트레일 런닝화 - 블랙 ,Kapteren Discover 남성용 트레일 런닝화 - 블랙 ,running_shoe,0,44.99
