classification_key,parent_key,name,lifecycle_type,attributes_schema
footwear,,Footwear,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size_us"":{""type"":""string"",""x-coded"":false,""x-system"":""footwear_us"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories,,Accessories,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor,,Outdoor & Equipment,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel,,Apparel,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
bag_pack,,Bags & Packs,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""capacity"":{""type"":""string"",""x-coded"":false,""x-system"":""volume_liters"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.beanie,accessories,Beanie,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.belt,accessories,Belt,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.bladder,accessories,Bladder,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.bottle-cage,accessories,Bottle cage,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.cap,accessories,Cap,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
