attribute_name,raw_value,display_value,locale,visual
color,,Unspecified,en,"{""swatch"":""#cccccc""}"
color,,Indéfini,fr-FR,"{""swatch"":""#cccccc""}"
color,,미지정,ko-KR,"{""swatch"":""#cccccc""}"
color,Abyss Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Abyss Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Abyss Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Abyss Gray,Gray,en,"{""swatch"":""#808080""}"
color,Abyss Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Abyss Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Acid Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Acid Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Acid Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Alpine Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Alpine Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Alpine Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Ash Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Ash Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Ash Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Asphalt Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Asphalt Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Asphalt Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Beetroot,Red,en,"{""swatch"":""#c0392b""}"
color,Beetroot,Rouge,fr-FR,"{""swatch"":""#c0392b""}"
color,Beetroot,레드,ko-KR,"{""swatch"":""#c0392b""}"
color,Black,Black,en,"{""swatch"":""#1a1a1a""}"
color,Black,Noir,fr-FR,"{""swatch"":""#1a1a1a""}"
color,Black,블랙,ko-KR,"{""swatch"":""#1a1a1a""}"
color,Black Olive,Green,en,"{""swatch"":""#3f7d3a""}"
color,Black Olive,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Black Olive,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Black Orange,Black,en,"{""swatch"":""#1a1a1a""}"
color,Black Orange,Noir,fr-FR,"{""swatch"":""#1a1a1a""}"
color,Black Orange,블랙,ko-KR,"{""swatch"":""#1a1a1a""}"
color,Blue,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Blue,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Blue,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Blue Gray,Gray,en,"{""swatch"":""#808080""}"
color,Blue Gray,Gris,fr-FR,"{""swatch"":""#808080""}"
color,Blue Gray,그레이,ko-KR,"{""swatch"":""#808080""}"
color,Bordeaux,Red,en,"{""swatch"":""#c0392b""}"
color,Bordeaux,Rouge,fr-FR,"{""swatch"":""#c0392b""}"
color,Bordeaux,레드,ko-KR,"{""swatch"":""#c0392b""}"
color,Brick Red,Red,en,"{""swatch"":""#c0392b""}"
color,Brick Red,Rouge,fr-FR,"{""swatch"":""#c0392b""}"
color,Brick Red,레드,ko-KR,"{""swatch"":""#c0392b""}"
color,Bright Indigo,Blue,en,"{""swatch"":""#1f4e8c""}"
color,Bright Indigo,Bleu,fr-FR,"{""swatch"":""#1f4e8c""}"
color,Bright Indigo,블루,ko-KR,"{""swatch"":""#1f4e8c""}"
color,Bronze Brown,Brown,en,"{""swatch"":""#6b4423""}"
color,Bronze Brown,Marron,fr-FR,"{""swatch"":""#6b4423""}"
color,Bronze Brown,브라운,ko-KR,"{""swatch"":""#6b4423""}"
color,Bronze Khaki Green,Green,en,"{""swatch"":""#3f7d3a""}"
color,Bronze Khaki Green,Vert,fr-FR,"{""swatch"":""#3f7d3a""}"
color,Bronze Khaki Green,그린,ko-KR,"{""swatch"":""#3f7d3a""}"
color,Burgundy,Red,en,"{""swatch"":""#c0392b""}"
color,Burgundy,Rouge,fr-FR,"{""swatch"":""#c0392b""}"
color,Burgundy,레드,ko-KR,"{""swatch"":""#c0392b""}"
color,Burnt Orange,Orange,en,"{""swatch"":""#e8730f""}"
color,Burnt Orange,Orange,fr-FR,"{""swatch"":""#e8730f""}"
