ean,item_cd,brand,category,classification_key,department,product_type,name_en,name_local,size_us,color,price_usd,price_local,currency,locale,fixture,depth,handle,image,n_images
3583784279314,2911289,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,2XL,Asphalt Blue,119.99,113.99,EUR,fr-FR,GB-R1-U1,1,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784279338,2911291,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,L,Asphalt Blue,119.99,113.99,EUR,fr-FR,GB-R1-U1,3,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784279345,2911292,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,M,Asphalt Blue,119.99,113.99,EUR,fr-FR,GB-R1-U1,3,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784279352,2911293,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,S,Asphalt Blue,119.99,113.99,EUR,fr-FR,GB-R1-U1,2,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784279369,2911294,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,XL,Asphalt Blue,119.99,113.99,EUR,fr-FR,GB-R1-U1,2,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784279598,2911275,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,2XL,Snowy White,119.99,113.99,EUR,fr-FR,GB-R1-U1,2,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784280914,2911277,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,L,Snowy White,119.99,113.99,EUR,fr-FR,GB-R1-U1,4,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784280921,2911278,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,M,Snowy White,119.99,113.99,EUR,fr-FR,GB-R1-U1,4,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784280938,2911279,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,S,Snowy White,119.99,113.99,EUR,fr-FR,GB-R1-U1,2,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3583784280945,2911280,Wedze,apparel,apparel.jacket,general,Jacket,Wedze Women's 100 Mid-Length Warm Ski Jacket,Wedze 100 Veste Mi-long Chaud de Ski Femme,XL,Snowy White,119.99,113.99,EUR,fr-FR,GB-R1-U1,3,wedze-womens-mid-length-warm-ski-jacket-100-navy-blue-310716-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8563105-product_image-p2747988.jpg?v=1755560863,26
3608393936325,5638068,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,5.5,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936332,5638069,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,6,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936349,5638070,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,7,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936356,5638071,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,8,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936363,5638072,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,9,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936370,5638073,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,9.5,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936387,5638074,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,10,Fuschia,170.00,161.5,EUR,fr-FR,PE-02,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936622,5638062,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,5.5,Grey Pink,160.00,152.0,EUR,fr-FR,PE-02,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936639,5638063,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,6,Grey Pink,160.00,152.0,EUR,fr-FR,PE-02,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936646,5638064,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,7,Grey Pink,160.00,152.0,EUR,fr-FR,PE-02,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936653,5638065,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,8,Grey Pink,160.00,152.0,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936660,5638066,Kiprun,footwear,footwear.shoes,running,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride Chaussures de Running Max Femme,9.5,Grey Pink,160.00,152.0,EUR,fr-FR,PE-02,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
