epc,ean,item_cd,category,fixture,store_id
3039606283AE10000035B356,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000004930DD,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE10000048EE4F,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE100000477252,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000000279DC,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000008F6607,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE10000069827F,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE10000055E5F6,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE10000085250B,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE100000629D2B,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000007F906F,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000008CF97B,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000000C7FE1,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE10000079D7AD,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE1000006242B2,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE100000008B19,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE100000180558,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606283AE10000085E156,3608429646723,4924328,apparel,GF-R1-U1,dec-fr-lille
3039606303BD64C0003A3CF4,3608449803717,4883243,apparel,GF-R1-U2,dec-fr-lille
3039606303BD64C0007E7EDF,3608449803717,4883243,apparel,GF-R1-U2,dec-fr-lille
3039606303BD64C00066FF1D,3608449803717,4883243,apparel,GF-R1-U2,dec-fr-lille
3039606303BD64C00065E38E,3608449803717,4883243,apparel,GF-R1-U2,dec-fr-lille
