ean,item_cd,brand,category,classification_key,department,product_type,name_en,name_local,size_us,color,price_usd,price_local,currency,locale,fixture,depth,handle,image,n_images
3608439438271,2421807,Quechua,outdoor,outdoor.tent,hike_camp,tent,Quechua 2 Second Fresh & Black Waterproof Pop Up Camping Tent 3 Person,Quechua 2 Second Fresh Black Pop Up Camping 3 Person Tente Imperméable,3 Person,White,110.00,104.5,EUR,fr-FR,GB-R5-U1,3,quechua-2-second-fresh-black-waterproof-camping-tent-3-person,https://cdn.shopify.com/s/files/1/1330/6287/files/8505871-product_image-p192895.jpg?v=1755814011,16
3608439227622,4569378,Quechua,apparel,apparel.fleece,hike_camp,Fleece,Quechua Men's MH500 Full Zip Fleece Hiking Jacket,Quechua MH500 Full Zip Fleece Veste de Randonnée Homme,XL,Abyss Gray,44.99,42.74,EUR,fr-FR,GB-R5-U1,9,quechua-mens-mountain-hiking-fleece-jacket-mh500-full-zip-grey-341204-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8758029-PACKSHOT_SS24_QUECHUAPOLAIRE_MH_320_BLEU_GRIS_SS24Fleece_collection_2425_-_8758029_-_002_---_Expires_on_31-12-2028.jpg?v=1757531124,7
3608439227639,4569379,Quechua,apparel,apparel.fleece,hike_camp,Fleece,Quechua Men's MH500 Full Zip Fleece Hiking Jacket,Quechua MH500 Full Zip Fleece Veste de Randonnée Homme,2XL,Abyss Gray,44.99,42.74,EUR,fr-FR,GB-R5-U1,5,quechua-mens-mountain-hiking-fleece-jacket-mh500-full-zip-grey-341204-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8758029-PACKSHOT_SS24_QUECHUAPOLAIRE_MH_320_BLEU_GRIS_SS24Fleece_collection_2425_-_8758029_-_002_---_Expires_on_31-12-2028.jpg?v=1757531124,7
3608439227646,4569376,Quechua,apparel,apparel.fleece,hike_camp,Fleece,Quechua Men's MH500 Full Zip Fleece Hiking Jacket,Quechua MH500 Full Zip Fleece Veste de Randonnée Homme,M,Abyss Gray,44.99,42.74,EUR,fr-FR,GB-R5-U1,12,quechua-mens-mountain-hiking-fleece-jacket-mh500-full-zip-grey-341204-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8758029-PACKSHOT_SS24_QUECHUAPOLAIRE_MH_320_BLEU_GRIS_SS24Fleece_collection_2425_-_8758029_-_002_---_Expires_on_31-12-2028.jpg?v=1757531124,7
3608439227653,4569377,Quechua,apparel,apparel.fleece,hike_camp,Fleece,Quechua Men's MH500 Full Zip Fleece Hiking Jacket,Quechua MH500 Full Zip Fleece Veste de Randonnée Homme,L,Abyss Gray,44.99,42.74,EUR,fr-FR,GB-R5-U1,12,quechua-mens-mountain-hiking-fleece-jacket-mh500-full-zip-grey-341204-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8758029-PACKSHOT_SS24_QUECHUAPOLAIRE_MH_320_BLEU_GRIS_SS24Fleece_collection_2425_-_8758029_-_002_---_Expires_on_31-12-2028.jpg?v=1757531124,7
3608439227677,4569380,Quechua,apparel,apparel.fleece,hike_camp,Fleece,Quechua Men's MH500 Full Zip Fleece Hiking Jacket,Quechua MH500 Full Zip Fleece Veste de Randonnée Homme,3XL,Abyss Gray,44.99,42.74,EUR,fr-FR,GB-R5-U1,2,quechua-mens-mountain-hiking-fleece-jacket-mh500-full-zip-grey-341204-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8758029-PACKSHOT_SS24_QUECHUAPOLAIRE_MH_320_BLEU_GRIS_SS24Fleece_collection_2425_-_8758029_-_002_---_Expires_on_31-12-2028.jpg?v=1757531124,7
3608439227691,4569375,Quechua,apparel,apparel.fleece,hike_camp,Fleece,Quechua Men's MH500 Full Zip Fleece Hiking Jacket,Quechua MH500 Full Zip Fleece Veste de Randonnée Homme,S,Abyss Gray,44.99,42.74,EUR,fr-FR,GB-R5-U1,8,quechua-mens-mountain-hiking-fleece-jacket-mh500-full-zip-grey-341204-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8758029-PACKSHOT_SS24_QUECHUAPOLAIRE_MH_320_BLEU_GRIS_SS24Fleece_collection_2425_-_8758029_-_002_---_Expires_on_31-12-2028.jpg?v=1757531124,7
3608391016302,5149470,Wedze,accessories,accessories.gloves,snow,Gloves,Wedze Adult 500 Waterproof Ski Gloves,Wedze 500 Gants Imperméable de Ski Adulte,S,Smoked Black,49.99,47.49,EUR,fr-FR,GB-R2-U1,1,wedze-adult-warm-ski-gloves-500-black-347696-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8871728-product_image-p2910779.jpg?v=1755553636,7
3608391016319,5149471,Wedze,accessories,accessories.gloves,snow,Gloves,Wedze Adult 500 Waterproof Ski Gloves,Wedze 500 Gants Imperméable de Ski Adulte,M,Smoked Black,49.99,47.49,EUR,fr-FR,GB-R2-U1,1,wedze-adult-warm-ski-gloves-500-black-347696-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8871728-product_image-p2910779.jpg?v=1755553636,7
3608391016326,5149472,Wedze,accessories,accessories.gloves,snow,Gloves,Wedze Adult 500 Waterproof Ski Gloves,Wedze 500 Gants Imperméable de Ski Adulte,L,Smoked Black,49.99,47.49,EUR,fr-FR,GB-R2-U1,1,wedze-adult-warm-ski-gloves-500-black-347696-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8871728-product_image-p2910779.jpg?v=1755553636,7
3608391016333,5149473,Wedze,accessories,accessories.gloves,snow,Gloves,Wedze Adult 500 Waterproof Ski Gloves,Wedze 500 Gants Imperméable de Ski Adulte,XL,Smoked Black,49.99,47.49,EUR,fr-FR,GB-R2-U1,1,wedze-adult-warm-ski-gloves-500-black-347696-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8871728-product_image-p2910779.jpg?v=1755553636,7
3608391016340,5149474,Wedze,accessories,accessories.gloves,snow,Gloves,Wedze Adult 500 Waterproof Ski Gloves,Wedze 500 Gants Imperméable de Ski Adulte,2XL,Smoked Black,49.99,47.49,EUR,fr-FR,GB-R2-U1,2,wedze-adult-warm-ski-gloves-500-black-347696-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8871728-product_image-p2910779.jpg?v=1755553636,7
3608391016357,5149475,Wedze,accessories,accessories.gloves,snow,Gloves,Wedze Adult 500 Waterproof Ski Gloves,Wedze 500 Gants Imperméable de Ski Adulte,3XL,Smoked Black,49.99,47.49,EUR,fr-FR,GB-R2-U1,2,wedze-adult-warm-ski-gloves-500-black-347696-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8871728-product_image-p2910779.jpg?v=1755553636,7
3608439509896,2191613,Quechua,apparel,apparel.jacket,hike_camp,Jacket,Quechua Women's Raincut Full Zip Windproof and Water-repellent Rain Jacket,Quechua Raincut Full Zip Windproof and Veste de pluie Déperlant Femme,XS,White,29.99,28.49,EUR,fr-FR,GB-R5-U2,3,quechua-womens-raincut-full-zip-windproof-and-water-repellent-rain-jacket-134585,https://cdn.shopify.com/s/files/1/1330/6287/files/8383702-product_image-p2643938.jpg?v=1704715995,7
