epc,ean,item_cd,category,fixture,store_id
30396062C399B4C0003337A8,3608439438271,2421807,outdoor,GB-R5-U1,dec-fr-lyon
30396062C399B4C000957490,3608439438271,2421807,outdoor,GB-R5-U1,dec-fr-lyon
30396062C399B4C0004A8978,3608439438271,2421807,outdoor,BR-01,dec-fr-lyon
30396062C3852280005A60A5,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852280001DCE40,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852280000627A6,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852280001F845E,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852280006F80E3,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C38522800089CE91,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852280008845E8,3608439227622,4569378,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852280001E5681,3608439227622,4569378,apparel,BR-02,dec-fr-lyon
30396062C3852280006BF38E,3608439227622,4569378,apparel,BR-03,dec-fr-lyon
30396062C38522C0006676F5,3608439227639,4569379,apparel,GB-R5-U1,dec-fr-lyon
30396062C38522C00084DB3D,3608439227639,4569379,apparel,GB-R5-U1,dec-fr-lyon
30396062C38522C000126279,3608439227639,4569379,apparel,GB-R5-U1,dec-fr-lyon
30396062C38522C0006246E9,3608439227639,4569379,apparel,GB-R5-U1,dec-fr-lyon
30396062C38522C00010B972,3608439227639,4569379,apparel,BR-04,dec-fr-lyon
30396062C38523000016EBC8,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C38523000058EDA3,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852300007641FA,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852300004D8868,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C385230000147F80,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852300005CB7DC,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852300001A391F,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852300000CABD4,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C38523000065B4C7,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C38523000044B217,3608439227646,4569376,apparel,GB-R5-U1,dec-fr-lyon
30396062C38523000016C036,3608439227646,4569376,apparel,BR-05,dec-fr-lyon
30396062C38523000060F15B,3608439227646,4569376,apparel,BR-06,dec-fr-lyon
30396062C38523400066A8C6,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C38523400028C180,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852340005B7673,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C385234000546F41,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852340008B14D1,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852340000591AF,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C385234000480761,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C385234000531997,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C38523400087AF17,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852340003D9733,3608439227653,4569377,apparel,GB-R5-U1,dec-fr-lyon
30396062C3852340007FFF38,3608439227653,4569377,apparel,BR-01,dec-fr-lyon
