epc,ean,item_cd,category,fixture,store_id
30395DFA82F88EC000004A9F,3583787788110,2422755,accessories,GB-R3-U1,dec-fr-marseille
30395DFA82F88EC00017A5D0,3583787788110,2422755,accessories,GB-R3-U1,dec-fr-marseille
30395DFA82F88EC000428ACB,3583787788110,2422755,accessories,GB-R3-U1,dec-fr-marseille
30395DFA82F88EC000920D5F,3583787788110,2422755,accessories,GB-R3-U1,dec-fr-marseille
30395DFA82F88EC00080BE0A,3583787788110,2422755,accessories,GB-R3-U1,dec-fr-marseille
30395DFA82F88EC000941898,3583787788110,2422755,accessories,GB-R3-U1,dec-fr-marseille
30395DFA82F88EC0003C5EED,3583787788110,2422755,accessories,BR-01,dec-fr-marseille
30396062C38AF9400051A3B9,3608439287411,4336789,accessories,GB-R3-U2,dec-fr-marseille
30396062C38AF940003CE9AF,3608439287411,4336789,accessories,GB-R3-U2,dec-fr-marseille
30396062C38AF9400048E132,3608439287411,4336789,accessories,BR-02,dec-fr-marseille
30396062C38AF9C00019A9C5,3608439287435,4336788,accessories,GB-R3-U2,dec-fr-marseille
30396062C38AF9C0004E7BF9,3608439287435,4336788,accessories,GB-R3-U2,dec-fr-marseille
30396062C38AFF80006026D1,3608439287664,4336790,accessories,GB-R3-U2,dec-fr-marseille
30396062C38AFF800018B8DD,3608439287664,4336790,accessories,GB-R3-U2,dec-fr-marseille
30396062C38AFF80004B297D,3608439287664,4336790,accessories,BR-03,dec-fr-marseille
30396061C153A040005E7C2F,3608393477774,5668943,footwear,PE-02,dec-fr-marseille
30396061C153A0800048F395,3608393477781,5668944,footwear,PE-02,dec-fr-marseille
30396061C153A0C0003A67BA,3608393477798,5668945,footwear,PE-02,dec-fr-marseille
30396061C153A100000818D5,3608393477804,5668946,footwear,PE-02,dec-fr-marseille
30396061C153A140007FFAAA,3608393477811,5668947,footwear,PE-02,dec-fr-marseille
30396061C153A180004E1EAE,3608393477828,5668948,footwear,PE-02,dec-fr-marseille
30396061C1B87D8000460CFC,3608394510623,5857317,footwear,PE-02,dec-fr-marseille
30396061C1B87DC00070146D,3608394510630,5857318,footwear,PE-02,dec-fr-marseille
30396061C1B87DC000378FF6,3608394510630,5857318,footwear,PE-02,dec-fr-marseille
30396061C1B87E000022CCB4,3608394510647,5857319,footwear,PE-02,dec-fr-marseille
30396061C1B87E0000743D34,3608394510647,5857319,footwear,PE-02,dec-fr-marseille
30396061C1BE920000359A0C,3608394572881,5835605,footwear,PE-02,dec-fr-marseille
30396061C1BE92400094ADEC,3608394572898,5835606,footwear,PE-02,dec-fr-marseille
30396061C1BEA18000980B93,3608394573505,5835607,footwear,PE-02,dec-fr-marseille
30396061C1BEA18000336222,3608394573505,5835607,footwear,PE-02,dec-fr-marseille
30396061C1BEA1C000337759,3608394573512,5835608,footwear,PE-02,dec-fr-marseille
30396061C1BEA20000470793,3608394573529,5835609,footwear,PE-02,dec-fr-marseille
30396061C1BEA2400016A103,3608394573536,5844813,footwear,PE-02,dec-fr-marseille
30396061C1BEA28000709AC8,3608394573543,5844814,footwear,PE-02,dec-fr-marseille
30396061C1BEA2C0008D3603,3608394573550,5844815,footwear,PE-02,dec-fr-marseille
30396061C1BEA3000047A75D,3608394573567,5844816,footwear,PE-02,dec-fr-marseille
30396061C1BEA3400084E29E,3608394573574,5844817,footwear,PE-02,dec-fr-marseille
30396062C388AF400084A99A,3608439263972,4513667,outdoor,GB-R3-U1,dec-fr-marseille
30395DFA82E764C00024A31C,3583787612354,4170008,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E764C00074909D,3583787612354,4170008,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C00057A153,3583787612392,4170014,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C00072E5D8,3583787612392,4170014,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C0008C43E7,3583787612392,4170014,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C0007AFF78,3583787612392,4170014,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C00026941A,3583787612392,4170014,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C0004A4D10,3583787612392,4170014,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E765C00058497E,3583787612392,4170014,apparel,BR-04,dec-fr-marseille
30395DFA82E76640003CC9B4,3583787612415,4170016,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E766400078ADCD,3583787612415,4170016,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E76640005B350B,3583787612415,4170016,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E7664000144FEC,3583787612415,4170016,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E76640007FC3F6,3583787612415,4170016,apparel,BR-01,dec-fr-marseille
30395DFA82E7668000385F29,3583787612422,4170010,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E76680007166E2,3583787612422,4170010,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E76680004E9207,3583787612422,4170010,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E76680003EFE97,3583787612422,4170010,apparel,BR-02,dec-fr-marseille
30395DFA82E766C0003AA1F1,3583787612439,4170012,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E766C0008651FD,3583787612439,4170012,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E766C0003FA81F,3583787612439,4170012,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E766C000138A78,3583787612439,4170012,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E766C0006A4DEA,3583787612439,4170012,apparel,BR-03,dec-fr-marseille
30395DFA82E767C000104D32,3583787612477,4170018,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E767C0002E861A,3583787612477,4170018,apparel,GB-R1-U1,dec-fr-marseille
30395DFA82E767C0001004A8,3583787612477,4170018,apparel,GB-R1-U1,dec-fr-marseille
