ean,item_cd,brand,category,classification_key,department,product_type,name_en,name_local,size_us,color,price_usd,price_local,currency,locale,fixture,depth,handle,image,n_images
3608393936325,5638068,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,5.5,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936332,5638069,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,6,Fuschia,170.00,229500,KRW,ko-KR,FB-01,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936349,5638070,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,7,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936356,5638071,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,8,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936363,5638072,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,9,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936370,5638073,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,9.5,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936387,5638074,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,10,Fuschia,170.00,229500,KRW,ko-KR,FB-01,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936622,5638062,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,5.5,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,0,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936639,5638063,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,6,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936646,5638064,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,7,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936653,5638065,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,8,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936660,5638066,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,9.5,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936677,5638067,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,10,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608393936684,5645279,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,9,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608394135376,5793837,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,6.5,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608394135383,5779681,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,7.5,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608394135390,5779682,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,8.5,Grey Pink,160.00,216000,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608394136366,5791034,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,6.5,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608394136373,5779680,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,7.5,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608394136380,5792991,Kiprun,footwear,footwear.shoes,general,Shoes,Kiprun Kipride Max Women's Running Shoes,Kiprun Kipride 여성용 러닝 맥스 신발,8.5,Fuschia,170.00,229500,KRW,ko-KR,FB-01,1,kiprun-kipride-max-womens-running-shoes-362221,https://cdn.shopify.com/s/files/1/1330/6287/files/8960644-001.jpg?v=1774560257,16
3608391808808,4964922,Van Rysel,outdoor,outdoor.road-bike,general,Road bike,Van Rysel RCR-F PRO DURA ACE DI2,Van Rysel RCR-F PRO DURA ACE DI2,XS,Carbon,11599.00,15658600,KRW,ko-KR,GB-R1-U1,0,van-rysel-rcr-f-pro-dura-ace-di2,https://cdn.shopify.com/s/files/1/1330/6287/files/default_5a91c13f-9016-4884-81fa-4319405fcb3c.jpg?v=1775490860,8
3608391808815,4964923,Van Rysel,outdoor,outdoor.road-bike,general,Road bike,Van Rysel RCR-F PRO DURA ACE DI2,Van Rysel RCR-F PRO DURA ACE DI2,S,Carbon,11599.00,15658600,KRW,ko-KR,GB-R1-U1,1,van-rysel-rcr-f-pro-dura-ace-di2,https://cdn.shopify.com/s/files/1/1330/6287/files/default_5a91c13f-9016-4884-81fa-4319405fcb3c.jpg?v=1775490860,8
3608391808822,4964924,Van Rysel,outdoor,outdoor.road-bike,general,Road bike,Van Rysel RCR-F PRO DURA ACE DI2,Van Rysel RCR-F PRO DURA ACE DI2,M,Carbon,11599.00,15658600,KRW,ko-KR,GB-R1-U1,0,van-rysel-rcr-f-pro-dura-ace-di2,https://cdn.shopify.com/s/files/1/1330/6287/files/default_5a91c13f-9016-4884-81fa-4319405fcb3c.jpg?v=1775490860,8
3608391808839,4964925,Van Rysel,outdoor,outdoor.road-bike,general,Road bike,Van Rysel RCR-F PRO DURA ACE DI2,Van Rysel RCR-F PRO DURA ACE DI2,L,Carbon,11599.00,15658600,KRW,ko-KR,GB-R1-U1,0,van-rysel-rcr-f-pro-dura-ace-di2,https://cdn.shopify.com/s/files/1/1330/6287/files/default_5a91c13f-9016-4884-81fa-4319405fcb3c.jpg?v=1775490860,8
