epc,ean,item_cd,category,fixture,store_id
30395DFA830435C00057052E,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C0000B4213,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C0001A70FF,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C000210617,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C000400830,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C00069CC89,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C00014B10D,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C0007456C1,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C00029702D,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C000407CB1,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C0004059E4,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA830435C0001C826B,3583787907436,2959088,apparel,GF-R1-U1,dec-kr-busan
30395DFA82CF7D00008CF461,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D000063039E,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D000047BABC,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D000032EB24,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D00001E56D3,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D0000464633,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D000030506F,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30395DFA82CF7D0000617B68,3583787367568,4273425,apparel,GF-R1-U2,dec-kr-busan
30396061C1ADE3800023D1E8,3608394402065,5683923,footwear,PW-01,dec-kr-busan
30396061C1ADE38000139242,3608394402065,5683923,footwear,PW-01,dec-kr-busan
30396061C1ADE380006C2440,3608394402065,5683923,footwear,PW-01,dec-kr-busan
30396061C1ADE380008AEFDD,3608394402065,5683923,footwear,PW-01,dec-kr-busan
30396061C1ADE3800043479E,3608394402065,5683923,footwear,PW-01,dec-kr-busan
30396062C394E60000678E0D,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E600001E3919,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E60000729C19,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E600008EDFAB,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E600002814AC,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E6000057B274,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E60000336370,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E6000048D0B6,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
30396062C394E60000774350,3608439389047,2839747,apparel,GF-R1-U3,dec-kr-busan
3039606303C856C0003D63E5,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C000425769,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C00060AD4F,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C0003802E9,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C00031220C,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C000257953,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C0005985A0,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C0002DDFFE,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
3039606303C856C000742EE2,3608449915793,885274,apparel,GF-R1-U4,dec-kr-busan
30396061C182F040002747BF,3608393962256,5640411,footwear,PW-02,dec-kr-busan
30396061C182F040001465D6,3608393962256,5640411,footwear,PW-02,dec-kr-busan
30396061C182F040005D766A,3608393962256,5640411,footwear,PW-02,dec-kr-busan
30396061C182F040004A4ABF,3608393962256,5640411,footwear,PW-02,dec-kr-busan
30396061C182F04000563DF9,3608393962256,5640411,footwear,PW-02,dec-kr-busan
30396061C182F0400025F101,3608393962256,5640411,footwear,PW-02,dec-kr-busan
30396061C182F040008EA6B7,3608393962256,5640411,footwear,PW-02,dec-kr-busan
3039606203C15680002EC330,3608409844101,2771158,outdoor,GF-R6-U1,dec-kr-busan
30396061C04764000052394E,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C0476400001ACF22,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C04764000069AA16,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C0476400007523A8,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C0476400007951DC,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C0476400005E1A64,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C047640000428385,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C047640000086A3B,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396061C047640000550F88,3608390731046,5056927,apparel,GF-R1-U5,dec-kr-busan
30396062C3858A00008398A1,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C3858A00003BBA39,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C3858A000002F572,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C3858A0000844071,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C3858A000005A39E,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C3858A00002E439F,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C3858A0000091883,3608439231766,4927572,apparel,GF-R1-U6,dec-kr-busan
30396062C38B8A40001CFF52,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A400010B6C2,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A40007D08B9,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A4000075787,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A4000320217,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A400090569E,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A40007BAA75,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38B8A4000968EA4,3608439293214,4484579,apparel,GF-R1-U7,dec-kr-busan
30396062C38C77C00016356B,3608439302718,4267355,footwear,PW-03,dec-kr-busan
30396062C38C77C0005D67BC,3608439302718,4267355,footwear,PW-03,dec-kr-busan
30396062C38C77C0006722D9,3608439302718,4267355,footwear,PW-03,dec-kr-busan
30396062C38C77C00059DF0E,3608439302718,4267355,footwear,PW-03,dec-kr-busan
30396061C05218C0005CC633,3608390840670,5099351,accessories,ACC-01,dec-kr-busan
30396061C05218C00087FAFF,3608390840670,5099351,accessories,ACC-01,dec-kr-busan
