ean,item_cd,category,product_type,name_en,name_local,size_us,color,price_usd,price_local,currency,locale,fixture,depth,handle,image,n_images
2142367790007,4236779,footwear,Shoes,Quechua Men's MH500 Waterproof Hiking Shoes,Quechua Men's MH500 Waterproof Hiking Shoes,6.5,Default Color,70.00,70.0,USD,en-US,PW-01,6,quechua-mens-mh500-waterproof-hiking-shoes-330812,https://cdn.shopify.com/s/files/1/1330/6287/files/8618759-product_image-p2315780_2a5b96b2-f26e-4ba1-8391-68142d88902c.jpg?v=1742379051,7
3583780104122,827034,accessories,Chest strap,Forclaz Hiking Backpack Chest Strap,Forclaz Hiking Backpack Chest Strap,One Size,Unspecified,5.99,5.99,USD,en-US,ACC-01,18,hiking-backpack-replacement-chest-strap,https://cdn.shopify.com/s/files/1/1330/6287/files/1788429-product_image-p2572925.jpg?v=1712145808,5
3583780571207,522209,outdoor,Foam mat,Forclaz MT100 Foam Sleeping Pad,Forclaz MT100 Foam Sleeping Pad,One Size,Pewter,15.00,15.0,USD,en-US,GF-R6-U1,2,hiking-mattress-forclaz-m100-foam,https://cdn.shopify.com/s/files/1/1330/6287/files/5591048-product_image-p2621050.jpg?v=1712056161,6
3583782090829,1033680,apparel,Fleece,Quechua Women's MH120 Hiking Fleece Vest,Quechua Women's MH120 Hiking Fleece Vest,2XL,Black,18.00,18.0,USD,en-US,GF-R1-U1,15,womens-hiking-fleece-gilet-mh120-12490,https://cdn.shopify.com/s/files/1/1330/6287/files/8072128-product_image-p2607137.jpg?v=1712056129,11
3583782090836,1033681,apparel,Fleece,Quechua Women's MH120 Hiking Fleece Vest,Quechua Women's MH120 Hiking Fleece Vest,XL,Black,18.00,18.0,USD,en-US,GF-R1-U2,18,womens-hiking-fleece-gilet-mh120-12490,https://cdn.shopify.com/s/files/1/1330/6287/files/8072128-product_image-p2607137.jpg?v=1712056129,11
3583782090843,1033682,apparel,Fleece,Quechua Women's MH120 Hiking Fleece Vest,Quechua Women's MH120 Hiking Fleece Vest,L,Black,18.00,18.0,USD,en-US,GF-R1-U3,20,womens-hiking-fleece-gilet-mh120-12490,https://cdn.shopify.com/s/files/1/1330/6287/files/8072128-product_image-p2607137.jpg?v=1712056129,11
3583782090850,1033683,apparel,Fleece,Quechua Women's MH120 Hiking Fleece Vest,Quechua Women's MH120 Hiking Fleece Vest,M,Black,18.00,18.0,USD,en-US,GF-R1-U4,12,womens-hiking-fleece-gilet-mh120-12490,https://cdn.shopify.com/s/files/1/1330/6287/files/8072128-product_image-p2607137.jpg?v=1712056129,11
3583782090867,1033684,apparel,Fleece,Quechua Women's MH120 Hiking Fleece Vest,Quechua Women's MH120 Hiking Fleece Vest,S,Black,18.00,18.0,USD,en-US,GF-R1-U5,18,womens-hiking-fleece-gilet-mh120-12490,https://cdn.shopify.com/s/files/1/1330/6287/files/8072128-product_image-p2607137.jpg?v=1712056129,11
3583782090874,1033685,apparel,Fleece,Quechua Women's MH120 Hiking Fleece Vest,Quechua Women's MH120 Hiking Fleece Vest,XS,Black,18.00,18.0,USD,en-US,GF-R1-U6,9,womens-hiking-fleece-gilet-mh120-12490,https://cdn.shopify.com/s/files/1/1330/6287/files/8072128-product_image-p2607137.jpg?v=1712056129,11
3583783858190,2562988,outdoor,Pad,Forclaz Trek Pad Outdoor Foam Seat,Forclaz Trek Pad Outdoor Foam Seat,One Size,Unspecified,14.99,14.99,USD,en-US,GF-R6-U2,1,backpacking-bivouac-foam-trek-pad,https://cdn.shopify.com/s/files/1/1330/6287/files/8493400-product_image-p2621057.jpg?v=1712056852,8
