epc,ean,item_cd,category,fixture,store_id
3039606303C19FC00056270C,3608449847032,2456185,apparel,GB-R4-U1,dec-us-nyc
3039606303C19FC0003988BB,3608449847032,2456185,apparel,GB-R4-U1,dec-us-nyc
3039606303C19FC0004C1FAA,3608449847032,2456185,apparel,BR-01,dec-us-nyc
3039606303C1A0000084AF51,3608449847049,2456191,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A0000025EBDD,3608449847049,2456191,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A08000783207,3608449847063,2456190,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A080008CA6EF,3608449847063,2456190,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A08000106D65,3608449847063,2456190,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A080003E3C69,3608449847063,2456190,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A080003B1507,3608449847063,2456190,apparel,BR-02,dec-us-nyc
3039606303C1A100006D3722,3608449847087,2456189,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A100005CE428,3608449847087,2456189,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A1000087E1AC,3608449847087,2456189,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A1000061771C,3608449847087,2456189,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A100004A51B4,3608449847087,2456189,apparel,BR-03,dec-us-nyc
3039606303C1A1400077715C,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A140005A9D5D,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A14000722611,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A14000542E45,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A140000E96C2,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A1400051F6DC,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A14000963689,3608449847094,2456187,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A1400013362C,3608449847094,2456187,apparel,BR-04,dec-us-nyc
3039606303C1A28000867942,3608449847148,2456188,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A280000E8C9E,3608449847148,2456188,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A280007B5068,3608449847148,2456188,apparel,GB-R4-U1,dec-us-nyc
3039606303C1A28000372785,3608449847148,2456188,apparel,GB-R4-U1,dec-us-nyc
