style_color_size,style_no,brand,brand_name,year,season,season_name,item,item_name,classification_key,serial,division,color,color_name,color_ko,family,swatch,size
T221DC001P0085,T221DC001P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,001,P,00,WHITE,화이트,White,#f5f5f5,85
T221DC001P0090,T221DC001P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,001,P,00,WHITE,화이트,White,#f5f5f5,90
T221DC001P0095,T221DC001P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,001,P,00,WHITE,화이트,White,#f5f5f5,95
T221DC001P00100,T221DC001P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,001,P,00,WHITE,화이트,White,#f5f5f5,100
T221DC001P00105,T221DC001P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,001,P,00,WHITE,화이트,White,#f5f5f5,105
T221DC001P00F,T221DC001P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,001,P,00,WHITE,화이트,White,#f5f5f5,F
T221DC002P0685,T221DC002P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,002,P,06,NAVY,네이비,Blue,#1f4e8c,85
T221DC002P0690,T221DC002P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,002,P,06,NAVY,네이비,Blue,#1f4e8c,90
T221DC002P0695,T221DC002P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,002,P,06,NAVY,네이비,Blue,#1f4e8c,95
T221DC002P06100,T221DC002P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,002,P,06,NAVY,네이비,Blue,#1f4e8c,100
T221DC002P06105,T221DC002P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,002,P,06,NAVY,네이비,Blue,#1f4e8c,105
T221DC002P06F,T221DC002P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,002,P,06,NAVY,네이비,Blue,#1f4e8c,F
T221DC003P1985,T221DC003P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,003,P,19,BLACK,블랙,Black,#1a1a1a,85
T221DC003P1990,T221DC003P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,003,P,19,BLACK,블랙,Black,#1a1a1a,90
T221DC003P1995,T221DC003P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,003,P,19,BLACK,블랙,Black,#1a1a1a,95
T221DC003P19100,T221DC003P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,003,P,19,BLACK,블랙,Black,#1a1a1a,100
T221DC003P19105,T221DC003P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,003,P,19,BLACK,블랙,Black,#1a1a1a,105
T221DC003P19F,T221DC003P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,003,P,19,BLACK,블랙,Black,#1a1a1a,F
T221DC004P1285,T221DC004P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,004,P,12,GREY,그레이,Gray,#808080,85
T221DC004P1290,T221DC004P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,004,P,12,GREY,그레이,Gray,#808080,90
T221DC004P1295,T221DC004P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,004,P,12,GREY,그레이,Gray,#808080,95
T221DC004P12100,T221DC004P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,004,P,12,GREY,그레이,Gray,#808080,100
T221DC004P12105,T221DC004P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,004,P,12,GREY,그레이,Gray,#808080,105
T221DC004P12F,T221DC004P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,004,P,12,GREY,그레이,Gray,#808080,F
T221DC005P3185,T221DC005P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,005,P,31,PINK,핑크,Pink,#e84d8a,85
T221DC005P3190,T221DC005P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,005,P,31,PINK,핑크,Pink,#e84d8a,90
T221DC005P3195,T221DC005P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,005,P,31,PINK,핑크,Pink,#e84d8a,95
T221DC005P31100,T221DC005P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,005,P,31,PINK,핑크,Pink,#e84d8a,100
T221DC005P31105,T221DC005P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,005,P,31,PINK,핑크,Pink,#e84d8a,105
T221DC005P31F,T221DC005P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,005,P,31,PINK,핑크,Pink,#e84d8a,F
T221DC006P5185,T221DC006P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,006,P,51,GREEN,그린,Green,#3f7d3a,85
T221DC006P5190,T221DC006P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,006,P,51,GREEN,그린,Green,#3f7d3a,90
T221DC006P5195,T221DC006P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,006,P,51,GREEN,그린,Green,#3f7d3a,95
T221DC006P51100,T221DC006P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,006,P,51,GREEN,그린,Green,#3f7d3a,100
T221DC006P51105,T221DC006P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,006,P,51,GREEN,그린,Green,#3f7d3a,105
T221DC006P51F,T221DC006P,T,TBJ,22,1,SPRING,DC,DENIM COAT,denim.dc,006,P,51,GREEN,그린,Green,#3f7d3a,F
T221DJ007P0085,T221DJ007P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,007,P,00,WHITE,화이트,White,#f5f5f5,85
T221DJ007P0090,T221DJ007P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,007,P,00,WHITE,화이트,White,#f5f5f5,90
T221DJ007P0095,T221DJ007P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,007,P,00,WHITE,화이트,White,#f5f5f5,95
T221DJ007P00100,T221DJ007P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,007,P,00,WHITE,화이트,White,#f5f5f5,100
T221DJ007P00105,T221DJ007P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,007,P,00,WHITE,화이트,White,#f5f5f5,105
T221DJ007P00F,T221DJ007P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,007,P,00,WHITE,화이트,White,#f5f5f5,F
T221DJ008P0685,T221DJ008P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,008,P,06,NAVY,네이비,Blue,#1f4e8c,85
T221DJ008P0690,T221DJ008P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,008,P,06,NAVY,네이비,Blue,#1f4e8c,90
T221DJ008P0695,T221DJ008P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,008,P,06,NAVY,네이비,Blue,#1f4e8c,95
T221DJ008P06100,T221DJ008P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,008,P,06,NAVY,네이비,Blue,#1f4e8c,100
T221DJ008P06105,T221DJ008P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,008,P,06,NAVY,네이비,Blue,#1f4e8c,105
T221DJ008P06F,T221DJ008P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,008,P,06,NAVY,네이비,Blue,#1f4e8c,F
T221DJ009P1985,T221DJ009P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,009,P,19,BLACK,블랙,Black,#1a1a1a,85
T221DJ009P1990,T221DJ009P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,009,P,19,BLACK,블랙,Black,#1a1a1a,90
T221DJ009P1995,T221DJ009P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,009,P,19,BLACK,블랙,Black,#1a1a1a,95
T221DJ009P19100,T221DJ009P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,009,P,19,BLACK,블랙,Black,#1a1a1a,100
T221DJ009P19105,T221DJ009P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,009,P,19,BLACK,블랙,Black,#1a1a1a,105
T221DJ009P19F,T221DJ009P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,009,P,19,BLACK,블랙,Black,#1a1a1a,F
T221DJ010P1285,T221DJ010P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,010,P,12,GREY,그레이,Gray,#808080,85
T221DJ010P1290,T221DJ010P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,010,P,12,GREY,그레이,Gray,#808080,90
T221DJ010P1295,T221DJ010P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,010,P,12,GREY,그레이,Gray,#808080,95
T221DJ010P12100,T221DJ010P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,010,P,12,GREY,그레이,Gray,#808080,100
T221DJ010P12105,T221DJ010P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,010,P,12,GREY,그레이,Gray,#808080,105
T221DJ010P12F,T221DJ010P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,010,P,12,GREY,그레이,Gray,#808080,F
T221DJ011P3185,T221DJ011P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,011,P,31,PINK,핑크,Pink,#e84d8a,85
T221DJ011P3190,T221DJ011P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,011,P,31,PINK,핑크,Pink,#e84d8a,90
T221DJ011P3195,T221DJ011P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,011,P,31,PINK,핑크,Pink,#e84d8a,95
T221DJ011P31100,T221DJ011P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,011,P,31,PINK,핑크,Pink,#e84d8a,100
T221DJ011P31105,T221DJ011P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,011,P,31,PINK,핑크,Pink,#e84d8a,105
T221DJ011P31F,T221DJ011P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,011,P,31,PINK,핑크,Pink,#e84d8a,F
