classification_key,parent_key,name,lifecycle_type,attributes_schema
accessory,,Accessory,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
cut_and_sew,,Cut & Sew,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim,,Denim,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
knit,,Knit,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
leather,,Leather,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
material,,Material,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise,,Non-Merchandise,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
rainwear,,Rainwear,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
underwear,,Underwear,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
woven,,Woven,,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
