attribute_name,raw_value,display_value,locale,visual
color,00,WHITE,en,"{""swatch"":""#f5f5f5"",""family"":""White""}"
color,00,화이트,ko,"{""swatch"":""#f5f5f5"",""family"":""White""}"
color,01,OFF WHITE,en,"{""swatch"":""#f5f5f5"",""family"":""White""}"
color,01,오프 화이트,ko,"{""swatch"":""#f5f5f5"",""family"":""White""}"
color,02,IVORY,en,"{""swatch"":""#d9c6a5"",""family"":""Beige""}"
color,02,아이보리,ko,"{""swatch"":""#d9c6a5"",""family"":""Beige""}"
color,03,MINT,en,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,03,민트,ko,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,04,MELANGE MINT,en,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,04,멜란지 민트,ko,"{""swatch"":""#3f7d3a"",""family"":""Green""}"
color,05,L/NAVY,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,05,라이트 네이비,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,06,NAVY,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,06,네이비,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,07,MELANGE NAVY,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,07,멜란지 네이비,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,08,D/NAVY,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,08,다크 네이비,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,09,MIX,en,"{""swatch"":""#cccccc"",""family"":""Unspecified""}"
color,09,믹스,ko,"{""swatch"":""#cccccc"",""family"":""Unspecified""}"
color,10,STONE,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,10,스톤,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,11,LIGHT GREY,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,11,라이트 그레이,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,12,GREY,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,12,그레이,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,13,MELANGE GREY,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,13,멜란지 그레이,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,14,DARK GREY,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,14,다크 그레이,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,15,CHACOAL GREY,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,15,차콜 그레이,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,16,KHAKI GRAY,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,16,카키 그레이,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,19,BLACK,en,"{""swatch"":""#1a1a1a"",""family"":""Black""}"
color,19,블랙,ko,"{""swatch"":""#1a1a1a"",""family"":""Black""}"
color,20,LIGHT BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,20,라이트 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,21,BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,21,블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,22,MELANGE BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,22,멜란지 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,23,DARK BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,23,다크 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,24,SKY BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,24,스카이 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,25,AQUA BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,25,아쿠아 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,26,COBALT BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,26,코발트 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,27,ROYAL BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,27,로얄 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,28,GREY BLUE,en,"{""swatch"":""#808080"",""family"":""Gray""}"
color,28,그레이 블루,ko,"{""swatch"":""#808080"",""family"":""Gray""}"
color,29,TURKY BLUE,en,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,29,터키 블루,ko,"{""swatch"":""#1f4e8c"",""family"":""Blue""}"
color,30,LIGHT PINK,en,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,30,라이트 핑크,ko,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,31,PINK,en,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,31,핑크,ko,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,32,MELANGE PINK,en,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,32,멜란지 핑크,ko,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,33,D/PINK,en,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,33,다크 핑크,ko,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,34,CORAL PINK,en,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,34,코랄 핑크,ko,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,35,INDIAN PINK,en,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,35,인디언 핑크,ko,"{""swatch"":""#e84d8a"",""family"":""Pink""}"
color,36,RED,en,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,36,레드,ko,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,37,MELANGE RED,en,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,37,멜란지 레드,ko,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,38,WINE,en,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,38,와인,ko,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,39,MELANGE WINE,en,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,39,멜란지 와인,ko,"{""swatch"":""#c0392b"",""family"":""Red""}"
color,40,LIGHT ORANGE,en,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,40,라이트 오렌지,ko,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,41,ORANGE,en,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,41,오렌지,ko,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,42,MELANGE ORANGE,en,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,42,멜란지 오렌지,ko,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,43,DARK ORANGE,en,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,43,다크 오렌지,ko,"{""swatch"":""#e8730f"",""family"":""Orange""}"
color,44,LEMON YELLOW,en,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,44,멜란지 옐로우,ko,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,45,LIGHT YELLOW,en,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,45,라이트 옐로우,ko,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,46,YELLOW,en,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,46,옐로우,ko,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,47,MELANGE YELLOW,en,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,47,멜란지 옐로우,ko,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,48,DARK YELLOW,en,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
color,48,다크 옐로우,ko,"{""swatch"":""#f2c200"",""family"":""Yellow""}"
