value,en,ko
AA,ACCESSORY GLASSES,ACCESSORY GLASSES
AB,ACCESSORY BAG,ACCESSORY BAG
AC,ACCESSORY ETC,ACCESSORY 기타
AG,ACCESSORY GLOVES,ACCESSORY GLOVES
AH,ACCESSORY HOOD,ACCESSORY HOOD
AI,INNERWEAR,이너웨어
AJ,JEWELRY,주얼리
AM,ACCESSORY MUFFLER,ACCESSORY MUFFLER
AO,ACCESSORY SOCKS,ACCESSORY SOCKS
AP,ACCESSORY CAP,ACCESSORY CAP
AS,ACCESSORY SHOES,ACCESSORY SHOES
AT,ACCESSORY BELT,ACCESSORY BELT
AU,ACCESSORY UMBRELLA,ACCESSORY UMBRELLA
AW,ACCESSORY WALLET,ACCESSORY WALLET
AX,ACCESSORY BELT,ACCESSORY BELT
CT,WOVEN COAT,WOVEN COAT
CU,CULOTTES ?LPGA Added,CULOTTES ?LPGA 추가
DC,DENIM COAT,DENIM COAT
DJ,DENIM JACKET,DENIM JACKET
DK,DENIM SKIRT,DENIM SKIRT
DO,DENIM OVER ALL,DENIM OVER ALL
DP,DENIM PANTS,DENIM PANTS
DS,DENIM SHIRT,DENIM SHIRT
DV,DENIM VEST,DENIM VEST
DW,WOVEN DOWN,WOVEN DOWN
FA,FABRIC,원단
FB,SUBSIDIERY,부자재
JB,WOVEN JUMPER(for BUCKAROO),WOVEN JUMPER(버커루용)
JK,WOVEN JACKET,WOVEN JACKET
JM,ARTIFICIAL SWEDE COAT,인조무스탕
JP,WOVEN JUMPER,WOVEN JUMPER
KC,KNIT CARDIGAN,KNIT CARDIGAN
KT,KNIT P/OVER,KNIT P/OVER
KV,KNIT VEST,KNIT VEST
LI,LEATHER IMITATION,LEATHER IMITATION
LR,LEATHER REAL,LEATHER REAL
OP,WOVEN ONE PIECE,WOVEN ONE PIECE
PT,WOVEN PANTS,WOVEN PANTS
RJ,RAINWEAR JUMPER ?LPGA Added,RAINWEAR JUMPER ?LPGA추가
RB,RAINWEAR BOTTOM ?LPGA Added,RAINWEAR BOTTOM ?LPGA 추가
SH,WOVEN SHIRT,WOVEN SHIRT
SK,WOVEN SKIRT,WOVEN SKIRT
TJ,C&S JUMPER,C&S JUMPER
TK,C&S SKIRT,C&S SKIRT
TO,C&S O-PIECE,C&S O-PIECE
TP,C&S PANTS,C&S PANTS
TS,C&S T-SHIRTS,C&S T-SHIRTS
UW,UNDERWEAR,UNDERWEAR
VT,WOVEN VEST,WOVEN VEST
XX,Sample Cloth,Sample Cloth
Y1,SHOPPING BAG,쇼핑백
Y2,HANGER,옷걸이
Y3,원/부폐기,원/부폐기
Y4,원/부매각,원/부매각
Y5,FREE GIFT,사은품
Z0,EVENT,EVENT행사)
Z1,SPECIAL PLANNED,기획
Z2,SPECIAL PLANNED1,기획1
Z3,SPECIAL PLANNED2,기획2
Z4,SPECIAL PLANNED3,기획3
Z5,SPECIAL PLANNED4,기획4
Z6,SPECIAL PLANNED5,기획5
Z7,SPECIAL PLANNED6,기획6
