# fullday-0728 accepted-per-minute — measured BY TWIN off POST /visionai/impressions/query, 2026-07-30
# Denver, 1-minute slices, 2256 distinct ids = exact match to coordinator psql. No slice truncated.
# minute is recorded_at (== firstLook, EVENT time), UTC.
minute_utc,accepted
08:34,0
08:35,6
08:36,18
08:37,30
08:38,43
08:39,53
08:40,59
08:41,68
08:42,71
08:43,87
08:44,90
08:45,96
08:46,104
08:47,114
08:48,120
08:49,110
08:50,51
08:51,49
08:52,46
08:53,46
08:54,42
08:55,52
08:56,42
08:57,50
08:58,35
08:59,43
09:00,53
09:01,48
09:02,45
09:03,33
09:04,47
09:05,41
09:06,28
09:07,55
09:08,50
09:09,42
09:10,43
09:11,54
09:12,55
09:13,47
09:14,30
09:15,25
09:16,15
09:17,17
09:18,3
09:19,0
