# fullday-0728 emitted-per-minute, re-bucketed on firstLook to match recorded_at.
# Reconstructed at S15 commit 87f2c5e; acceptance gate 3,664 predicted impressions reproduced exactly.
# Supersedes the publish-time bucketing in fullday-0728-emitted-per-minute.csv for diffing against accepted.
wall_minute,emitted
0,10
1,19
2,34
3,45
4,53
5,62
6,75
7,70
8,87
9,88
10,106
11,95
12,120
13,132
14,113
15,115
16,113
17,97
18,106
19,102
20,101
21,110
22,112
23,106
24,112
25,124
26,98
27,102
28,109
29,130
30,118
31,122
32,111
33,109
34,94
35,91
36,90
37,57
38,45
39,30
40,21
41,14
42,13
43,3
