id,personSessionId,zoneCode,zoneName,firstLook,lastLook,firstDwell,lastDwell,viewTimeSeconds,dwellTimeSeconds,recordedAt
7258,b6786d7f-9d17-4719-ad39-a6ca064a63ac,GB-R1-U7,"Gondola R1 Back U7",2026-07-31T03:23:44.241Z,2026-07-31T03:24:35.041Z,2026-07-31T03:23:44.241Z,2026-07-31T03:24:35.041Z,50.8,50.8,2026-07-31T03:23:44.241Z
7259,43877932-b778-4cdb-bee1-354f77b763aa,GB-R2-U6,"Gondola R2 Back U6",2026-07-31T03:23:28.944Z,2026-07-31T03:24:48.344Z,2026-07-31T03:23:28.944Z,2026-07-31T03:24:48.344Z,79.4,79.4,2026-07-31T03:23:28.944Z
7255,d153620b-2299-4c6b-be6a-a2755f2f2229,GB-R3-U5,"Gondola R3 Back U5",2026-07-31T03:23:20.263Z,2026-07-31T03:24:15.263Z,2026-07-31T03:23:20.263Z,2026-07-31T03:24:15.263Z,55.0,55.0,2026-07-31T03:23:20.263Z
7257,ce26fc35-f54b-4812-9d7e-354bc8ee9d9f,GB-R4-U2,"Gondola R4 Back U2",2026-07-31T03:23:10.740Z,2026-07-31T03:24:33.540Z,2026-07-31T03:23:10.740Z,2026-07-31T03:24:33.540Z,82.8,82.8,2026-07-31T03:23:10.740Z
7254,1e04764a-ce08-4a38-a254-7581317b8ad5,GF-R3-U6,"Gondola R3 Front U6",2026-07-31T03:23:07.795Z,2026-07-31T03:24:03.395Z,2026-07-31T03:23:07.795Z,2026-07-31T03:24:03.395Z,55.6,55.6,2026-07-31T03:23:07.795Z
7256,d1d9950d-8acd-423d-b51b-90582550a4ad,GF-R1-U3,"Gondola R1 Front U3",2026-07-31T03:22:56.930Z,2026-07-31T03:24:18.730Z,2026-07-31T03:22:56.930Z,2026-07-31T03:24:18.730Z,81.8,81.8,2026-07-31T03:22:56.930Z
7253,b6786d7f-9d17-4719-ad39-a6ca064a63ac,GB-R1-U4,"Gondola R1 Back U4",2026-07-31T03:22:34.840Z,2026-07-31T03:23:43.240Z,2026-07-31T03:22:34.840Z,2026-07-31T03:23:43.240Z,68.4,68.4,2026-07-31T03:22:34.840Z
7251,eff441b7-e479-4c21-a790-3fae524af5df,FB-01,"Footwear Bench Seat",2026-07-31T03:22:33.815Z,2026-07-31T03:23:25.015Z,2026-07-31T03:22:33.815Z,2026-07-31T03:23:25.015Z,51.2,51.2,2026-07-31T03:22:33.815Z
7250,9744e314-af7c-4ad9-99c4-f629536e5ca3,GB-R3-U1,"Gondola R3 Back U1",2026-07-31T03:22:33.774Z,2026-07-31T03:23:24.374Z,2026-07-31T03:22:33.774Z,2026-07-31T03:23:24.374Z,50.6,50.6,2026-07-31T03:22:33.774Z
7247,6b6c9d80-511e-4a9d-8627-ff7919980105,GF-R1-U6,"Gondola R1 Front U6",2026-07-31T03:22:29.041Z,2026-07-31T03:23:07.641Z,2026-07-31T03:22:29.041Z,2026-07-31T03:23:07.641Z,38.6,38.6,2026-07-31T03:22:29.041Z
